Season,TeamID,PointScored,PointAllow,FGM,FGA,FGM3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF
2003,1180,68.62,65.21,24.59,57.1,6.38,13.07,19.41,11.03,24.41,14.72,13.59,7.34,4.62,18.24
2003,1181,81.97,70.4,27.37,60.33,7.33,19.9,28.07,13.77,23.1,13.83,14.03,8.5,5.13,21.27
2003,1182,66.7,73.37,23.5,52.83,5.67,14.03,20.37,10.87,22.17,12.57,18.93,6.7,3.6,19.47
2003,1183,77.21,78.46,27.54,61.89,6.75,15.39,20.14,12.11,22.86,16.14,12.96,6.39,2.04,19.64
2003,1184,74.67,80.62,26.75,59.79,5.5,15.67,22.58,11.67,21.38,14.21,14.83,7.83,2.5,22.92
2003,1185,76.85,79.77,26.73,58.0,4.81,18.58,28.85,12.65,24.31,14.73,15.19,6.04,3.15,21.77
2003,1186,69.97,66.28,23.9,51.21,4.69,17.48,23.83,9.38,22.86,14.79,17.03,7.69,2.72,21.48
2003,1187,63.0,65.92,22.72,56.16,4.24,13.32,19.28,12.84,24.76,11.92,12.8,4.76,3.64,17.32
2003,1189,62.4,68.44,22.92,54.2,4.52,12.04,18.28,12.92,20.56,11.16,16.2,7.2,2.56,19.48
2003,1190,79.7,77.48,28.07,61.41,5.22,18.33,24.81,14.0,24.04,14.04,18.74,10.7,5.26,19.52
2003,1191,70.0,73.68,23.93,49.5,5.86,16.29,22.32,8.79,23.07,15.75,15.93,5.39,3.39,19.89
2003,1192,72.62,74.24,25.41,58.1,8.48,13.31,18.9,10.07,21.28,14.03,14.59,6.0,2.34,19.24
2003,1193,70.63,69.4,24.03,54.2,4.27,18.3,25.33,11.8,25.6,12.83,17.13,7.6,5.33,20.3
2003,1194,69.07,77.44,25.15,64.04,6.48,12.3,18.41,14.37,21.56,12.22,16.63,9.07,3.48,23.33
2003,1196,75.9,64.68,26.94,56.52,8.68,13.35,18.94,10.81,24.26,16.42,13.39,7.77,4.1,16.9
2003,1197,71.48,71.76,23.48,54.52,8.28,16.24,24.0,13.45,24.45,11.24,17.48,7.24,2.1,19.9
2003,1198,59.89,64.96,21.29,52.21,3.71,13.61,22.29,13.71,20.86,9.5,15.86,7.75,2.04,19.21
2003,1199,68.07,66.55,24.76,57.31,6.41,12.14,18.07,10.62,24.0,13.93,14.9,9.45,4.48,18.93
2003,1200,64.64,78.14,23.14,56.14,6.86,11.5,18.61,11.46,22.36,12.11,17.46,7.43,3.29,21.11
2003,1201,71.64,66.79,25.89,57.75,6.54,13.32,18.86,13.43,24.32,14.75,15.79,6.57,4.43,19.89
2003,1202,64.54,68.71,23.36,56.0,5.61,12.21,17.68,12.68,22.89,12.71,14.82,6.93,2.89,17.46
2003,1203,71.38,71.9,23.83,54.34,5.93,17.79,26.34,13.79,22.76,13.28,16.34,6.45,3.17,20.52
2003,1204,75.58,77.73,27.69,60.35,6.15,14.04,21.88,13.5,22.92,13.62,15.81,7.38,3.69,19.42
2003,1205,67.21,74.89,25.18,63.71,7.96,8.89,12.71,12.54,25.75,15.43,16.46,6.75,2.96,18.43
2003,1206,64.07,60.5,22.79,53.86,4.46,14.04,20.68,12.93,23.46,11.71,15.68,7.61,2.21,16.93
2003,1207,76.31,69.79,26.41,61.45,4.69,18.79,25.62,14.03,25.52,15.52,15.93,9.48,6.31,22.21
2003,1208,79.19,73.19,28.52,61.44,6.7,15.44,21.63,12.81,24.59,17.93,11.56,7.63,4.37,17.19
2003,1209,73.21,73.46,26.64,58.79,6.11,13.82,19.46,11.5,22.18,13.29,14.54,7.61,4.93,17.14
2003,1210,74.07,69.61,27.04,60.54,5.68,14.32,21.14,14.04,24.75,15.57,15.18,8.07,5.36,18.57
2003,1211,77.06,68.19,26.06,55.45,7.16,17.77,24.65,11.94,25.32,15.74,14.55,6.81,3.52,18.65
2003,1212,71.11,80.68,26.39,62.43,6.21,12.11,17.32,10.96,25.5,13.32,16.25,5.46,3.96,19.68
2003,1214,71.47,68.8,25.33,55.8,5.93,14.87,22.5,12.67,23.47,14.63,17.7,8.43,3.7,22.63
2003,1216,64.5,64.46,23.32,55.89,4.96,12.89,20.25,13.89,22.57,12.04,14.0,7.25,2.32,18.79
2003,1217,70.62,72.77,25.42,59.46,7.77,12.0,17.69,12.92,24.81,15.42,16.92,7.46,2.38,20.38
2003,1218,69.83,66.76,24.93,54.9,5.28,14.69,21.38,11.48,22.48,16.24,14.72,6.79,3.1,17.86
2003,1219,68.52,74.89,24.96,56.26,5.41,13.19,20.33,11.96,21.48,11.89,16.19,7.41,2.0,18.26
2003,1220,64.1,70.62,23.41,57.55,6.83,10.45,17.76,15.0,25.62,13.07,18.48,5.24,2.93,20.14
2003,1221,69.34,58.21,24.21,52.72,5.31,15.62,22.14,12.07,24.31,15.41,13.93,7.97,4.48,18.38
2003,1222,58.25,66.21,21.29,52.79,5.57,10.11,15.32,11.68,25.96,10.79,17.43,5.21,4.43,16.61
2003,1224,73.2,72.83,26.0,59.87,6.0,15.2,22.1,14.17,20.43,11.17,15.2,8.0,2.77,19.2
2003,1225,61.89,63.56,22.07,53.7,5.41,12.33,17.56,11.85,22.78,12.04,13.78,5.93,3.0,16.67
2003,1226,70.59,71.19,25.85,58.33,5.48,13.41,20.81,11.26,22.56,14.26,14.96,8.04,3.41,19.89
2003,1227,75.45,68.93,27.86,58.45,6.41,13.31,22.28,13.52,24.34,16.45,12.52,6.17,3.31,19.45
2003,1228,75.43,61.4,27.1,55.8,7.43,13.8,19.1,9.73,25.4,18.27,13.17,7.0,3.1,19.13
2003,1229,64.59,70.17,23.69,53.59,6.48,10.72,15.24,9.76,21.14,11.52,14.86,6.17,2.41,18.9
2003,1231,70.53,67.0,23.44,54.94,7.53,16.12,22.62,11.22,25.62,13.81,11.5,4.44,5.34,18.06
2003,1232,56.42,65.74,20.77,52.77,4.84,10.03,14.65,9.94,20.84,12.29,13.32,6.52,2.77,18.39
2003,1233,74.97,71.48,26.14,56.72,5.72,16.97,23.69,11.14,24.21,16.45,15.34,8.21,4.34,20.38
2003,1234,69.54,66.71,24.25,54.14,4.79,16.25,22.64,11.32,25.04,14.46,15.04,6.64,4.0,17.71
2003,1235,70.39,66.71,26.32,57.75,5.71,12.04,17.75,11.29,25.39,11.86,13.57,5.5,5.5,18.64
2003,1236,68.17,76.34,23.38,54.9,6.86,14.55,20.76,9.17,23.28,13.55,15.86,8.0,3.03,19.55
2003,1237,71.25,70.41,24.44,53.94,6.5,15.88,22.62,11.69,20.91,13.38,15.91,8.19,1.81,19.34
2003,1238,70.43,74.46,23.93,58.04,6.5,16.07,23.5,10.18,23.46,13.11,16.11,9.89,2.54,22.21
2003,1239,65.57,69.86,23.96,55.25,4.79,12.86,19.46,12.18,23.5,11.82,17.14,6.71,5.21,16.5
2003,1240,75.0,71.97,26.48,58.52,7.76,14.28,21.07,12.48,21.31,15.21,14.83,9.55,2.62,21.21
2003,1241,66.52,68.83,23.97,55.86,6.28,12.31,18.34,11.45,23.03,12.76,15.0,5.9,5.1,19.97
2003,1242,81.33,66.37,30.23,62.3,4.8,16.07,24.13,14.3,26.9,16.73,14.9,10.13,4.9,16.7
2003,1243,69.63,66.17,25.53,55.8,5.63,12.93,20.57,11.37,25.7,15.4,13.23,4.93,3.63,17.93
2003,1245,76.62,71.83,27.21,55.83,7.41,14.79,20.76,10.62,23.72,14.07,12.9,6.52,1.9,20.17
2003,1246,77.53,64.09,28.47,58.41,5.91,14.69,20.78,12.88,24.16,16.19,14.06,7.81,5.09,17.38
2003,1247,68.31,71.41,22.59,56.9,6.31,16.83,23.03,13.03,22.59,11.41,14.34,6.34,2.07,21.1
2003,1248,66.11,69.04,23.3,52.56,6.85,12.67,17.89,9.44,23.56,13.37,14.04,5.19,3.81,16.11
2003,1249,64.81,65.92,22.23,52.31,5.73,14.62,21.5,11.19,26.0,10.58,17.77,6.19,4.62,18.31
2003,1250,63.85,63.81,22.35,52.15,5.27,13.88,19.04,10.19,24.08,12.0,14.08,7.08,3.04,18.85
2003,1251,65.52,69.52,21.0,52.17,5.52,18.0,24.34,11.55,24.21,11.31,18.17,8.62,3.03,20.14
2003,1252,76.88,82.21,24.5,56.46,8.29,19.58,26.88,10.33,26.67,14.25,17.17,4.04,3.58,19.21
2003,1253,62.58,74.62,21.35,49.65,5.77,14.12,19.92,9.73,20.35,11.77,17.12,4.5,2.62,19.42
2003,1254,75.07,81.0,27.57,63.0,5.89,14.04,20.79,14.82,25.79,14.32,17.29,6.57,2.18,20.93
2003,1256,68.08,72.4,24.24,57.44,4.84,14.76,21.24,12.48,24.0,11.16,14.08,5.4,3.2,20.24
2003,1257,81.83,68.47,27.97,60.83,8.43,17.47,25.1,13.2,25.1,16.6,13.37,7.2,4.73,22.67
2003,1258,70.37,73.63,24.27,56.73,4.03,17.8,25.1,11.97,21.8,14.37,16.07,7.83,4.1,22.3
2003,1259,59.04,72.04,19.39,49.18,5.36,14.89,21.71,10.0,22.07,9.54,17.46,5.54,2.64,18.29
2003,1260,74.48,74.65,26.42,62.87,6.35,15.29,21.03,14.74,23.58,11.84,14.0,7.26,4.0,20.74
2003,1261,73.23,62.9,26.81,55.06,6.74,12.87,19.87,10.61,24.52,16.39,13.87,8.0,4.16,16.35
2003,1263,70.96,69.75,26.57,55.54,7.11,10.71,16.36,10.93,26.32,15.68,17.86,7.21,5.61,17.14
2003,1264,76.17,67.76,25.93,57.55,5.52,18.79,23.9,11.31,23.31,13.86,14.21,9.17,3.9,21.93
2003,1265,71.34,74.14,24.17,59.1,7.76,15.24,19.59,10.97,23.72,13.86,13.45,6.86,3.55,16.83
2003,1266,78.39,67.68,27.21,56.25,5.79,18.18,23.61,13.11,24.07,16.32,13.57,6.0,3.64,18.64
2003,1267,71.93,72.04,24.89,53.14,6.29,15.86,20.5,8.39,23.68,13.79,14.39,6.04,3.68,19.36
2003,1268,80.79,66.86,29.43,63.36,6.75,15.18,21.57,13.75,26.75,18.89,14.11,10.89,6.61,19.0
2003,1269,61.43,66.93,22.25,51.79,5.57,11.36,17.89,10.68,21.46,14.04,15.71,6.04,3.79,19.54
2003,1270,68.52,70.07,23.89,54.7,6.93,13.81,20.22,12.26,23.26,12.78,16.93,7.26,4.07,21.44
2003,1271,62.86,71.43,21.5,56.07,7.93,11.93,16.29,12.57,19.07,9.93,15.21,6.29,2.46,21.18
2003,1272,74.52,65.83,26.28,60.0,7.0,14.97,22.9,14.07,25.97,16.62,13.79,7.38,5.07,18.76
2003,1273,78.07,72.93,27.43,58.18,6.71,16.5,23.79,13.96,26.0,16.39,16.61,6.61,4.25,17.18
2003,1274,69.86,68.71,24.71,58.11,6.11,14.32,19.96,13.21,23.14,14.04,16.54,9.71,4.25,19.96
2003,1275,58.37,59.41,19.96,47.63,6.33,12.11,17.48,9.04,20.04,11.0,11.59,5.89,1.78,18.63
2003,1276,69.0,67.27,23.53,54.3,6.27,15.67,21.17,11.87,22.77,12.17,14.13,5.47,3.47,18.37
2003,1277,67.23,60.97,23.03,51.1,4.9,16.26,22.13,10.68,24.26,13.61,14.55,6.39,3.71,20.03
2003,1278,74.43,71.79,25.79,59.29,7.57,15.29,21.86,13.11,24.82,16.32,15.29,7.36,6.43,20.32
2003,1279,66.66,63.66,23.41,51.28,6.28,13.55,18.66,10.1,20.97,13.38,13.62,6.45,2.0,20.07
2003,1280,70.17,60.17,26.33,55.8,5.57,11.93,17.63,12.67,24.6,14.5,15.63,8.73,3.73,15.9
2003,1281,71.77,66.48,26.16,59.19,7.48,11.97,18.16,13.48,25.9,13.74,13.61,5.71,4.32,16.87
2003,1282,67.86,75.24,23.38,57.55,9.38,11.72,18.0,11.69,21.1,12.03,12.41,5.83,2.69,18.24
2003,1283,66.59,61.45,23.62,54.1,4.31,15.03,22.52,12.59,22.38,10.1,13.48,7.31,3.69,20.14
2003,1284,66.0,67.07,22.46,52.57,6.32,14.75,21.54,8.25,25.07,14.32,14.93,7.89,2.71,16.96
2003,1285,69.71,71.64,24.29,56.46,7.82,13.32,18.89,10.75,23.25,12.18,13.89,5.86,4.18,21.54
2003,1286,63.0,65.48,21.6,50.04,6.28,13.52,18.92,8.64,21.56,12.76,14.08,5.36,1.8,16.2
2003,1287,79.5,75.35,28.58,57.65,6.04,16.31,21.54,11.54,21.88,14.62,13.96,7.42,2.27,17.35
2003,1288,68.17,76.28,23.66,58.07,6.0,14.86,22.9,14.38,20.62,10.62,15.83,6.34,1.97,20.62
2003,1289,60.25,75.29,20.92,53.33,4.88,13.54,21.42,11.25,21.88,9.42,17.58,6.54,3.08,18.17
2003,1290,75.96,74.52,27.07,67.93,10.07,11.74,16.74,17.26,21.26,15.44,11.67,9.04,2.7,17.96
2003,1291,63.52,69.67,21.52,55.78,6.63,13.85,19.89,12.33,20.33,11.67,15.07,8.33,3.04,21.37
2003,1292,68.32,68.25,24.54,53.29,6.46,12.79,18.79,10.46,24.68,11.79,16.14,5.36,2.36,20.39
2003,1293,74.85,69.56,27.3,59.52,6.74,13.52,19.04,13.52,24.15,15.85,13.7,7.0,4.56,17.63
2003,1296,69.61,69.81,24.35,53.06,6.29,14.61,22.39,13.0,22.65,12.68,17.0,7.61,3.61,19.81
2003,1298,59.81,66.15,20.85,50.62,5.77,12.35,18.85,10.65,21.69,12.35,17.23,7.04,2.54,19.88
2003,1299,60.85,80.65,22.04,56.5,6.08,10.69,18.27,12.12,20.58,9.12,17.12,6.31,1.42,18.73
2003,1301,72.4,68.0,24.33,53.33,7.97,15.77,20.47,9.73,22.03,14.67,14.2,7.77,3.07,18.67
2003,1304,63.41,68.62,22.93,57.52,4.59,12.97,20.03,12.21,26.03,11.21,14.38,6.28,3.21,18.34
2003,1305,76.3,71.83,25.17,58.03,6.03,19.93,27.97,12.9,25.1,11.53,12.83,6.63,3.77,20.87
2003,1306,65.5,77.43,21.75,54.68,7.11,14.89,24.04,11.68,22.54,11.43,16.21,6.89,1.54,20.5
2003,1307,69.59,74.15,23.0,55.33,7.89,15.7,21.3,10.41,21.37,11.67,11.96,5.7,2.63,18.26
2003,1308,73.11,67.5,25.71,57.46,5.82,15.86,21.5,12.32,23.57,12.46,13.43,6.61,4.04,16.36
2003,1309,69.52,70.19,24.52,55.15,5.37,15.11,22.37,13.44,23.59,12.07,16.56,6.04,3.78,17.33
2003,1310,74.59,74.83,26.07,56.28,5.03,17.41,25.41,13.59,22.9,14.24,14.59,7.59,3.24,17.52
2003,1311,53.41,69.63,18.78,49.22,5.26,10.59,15.93,10.22,20.33,9.67,17.85,5.56,0.81,19.11
2003,1313,62.97,64.97,22.21,52.45,4.48,14.07,21.79,11.72,22.72,9.69,17.14,7.79,4.1,18.9
2003,1314,71.16,70.84,25.28,59.06,8.09,12.5,18.88,11.88,23.06,15.31,15.0,8.16,4.69,17.25
2003,1317,69.04,79.38,24.35,57.88,5.73,14.62,20.58,12.04,23.88,12.81,17.31,6.23,3.73,22.12
2003,1318,72.17,72.45,25.83,60.93,6.76,13.76,20.1,13.21,21.97,13.28,15.24,9.21,2.9,22.17
2003,1319,71.69,72.08,25.81,56.73,8.15,11.92,18.62,10.46,24.92,14.96,16.58,5.08,2.96,19.81
2003,1320,65.15,68.7,22.93,51.22,7.78,11.52,16.96,8.11,22.85,13.93,13.26,4.96,1.74,16.52
2003,1321,62.62,65.69,21.52,50.17,6.86,12.72,18.24,9.55,20.17,14.79,12.86,6.9,2.79,17.69
2003,1322,62.3,71.0,22.33,56.78,3.33,14.3,22.67,13.93,22.44,10.85,18.63,7.96,3.89,21.81
2003,1323,80.1,71.19,27.23,60.68,8.29,17.35,22.84,11.39,26.87,16.9,12.77,7.45,5.65,16.23
2003,1324,77.38,74.73,26.62,58.73,6.58,17.58,25.46,12.58,23.58,13.73,14.0,7.58,3.27,18.54
2003,1325,71.3,74.67,24.07,52.93,6.2,16.97,24.9,10.13,23.37,14.2,15.23,6.3,2.53,19.07
2003,1326,64.42,64.45,21.39,52.1,4.87,16.77,23.65,11.58,23.0,11.61,13.87,5.23,1.94,18.26
2003,1328,71.17,60.17,25.27,56.53,7.47,13.17,18.6,12.13,24.97,14.17,11.8,6.93,3.77,18.6
2003,1329,68.72,62.21,24.66,55.41,4.86,14.55,22.34,12.38,24.07,12.24,14.66,8.79,5.59,20.14
2003,1330,66.63,64.59,23.22,57.74,5.85,14.33,20.41,13.96,23.85,14.22,13.3,8.26,2.78,18.33
2003,1331,76.19,70.33,24.93,56.48,7.63,18.7,25.07,12.0,25.37,15.37,14.41,5.3,4.56,19.7
2003,1332,82.22,73.97,28.59,62.0,9.0,16.03,20.66,11.38,24.5,17.47,15.22,8.03,2.78,20.94
2003,1333,67.48,69.48,23.74,56.93,4.52,15.48,22.63,11.26,24.7,13.37,13.59,5.3,3.52,16.56
2003,1334,65.93,66.0,23.43,56.57,6.79,12.29,17.32,11.18,23.25,11.79,13.5,5.79,2.71,19.71
2003,1335,70.19,59.41,24.0,51.52,9.0,13.19,18.78,9.33,24.19,14.85,13.0,7.19,2.15,17.78
2003,1336,63.07,72.86,22.75,56.75,6.14,11.43,15.54,11.54,20.25,11.43,15.89,5.89,3.82,20.39
2003,1337,78.39,78.71,28.71,62.07,7.86,13.11,18.11,10.86,22.64,13.5,13.0,6.82,3.11,18.57
2003,1338,74.6,58.83,26.87,53.5,6.37,14.5,22.8,11.3,25.37,17.77,15.1,8.07,4.1,17.97
2003,1339,67.63,73.26,22.07,53.96,7.07,16.41,22.48,8.26,19.56,13.78,14.22,7.26,2.52,21.78
2003,1340,57.04,66.08,19.48,49.32,4.68,13.4,19.96,10.0,22.36,9.96,18.04,5.12,2.68,20.2
2003,1341,70.41,71.48,24.62,56.21,4.97,16.21,23.21,10.76,26.55,11.86,14.66,6.62,1.52,19.66
2003,1343,65.23,62.35,23.15,49.92,7.69,11.23,16.35,8.35,20.31,14.58,11.81,7.27,1.69,17.92
2003,1344,72.07,68.34,24.86,57.59,6.62,15.72,20.0,12.14,22.62,14.83,14.31,8.72,5.72,17.38
2003,1345,71.75,65.25,23.75,54.39,5.11,19.14,25.5,10.39,23.46,12.25,13.82,7.18,2.93,19.82
2003,1346,74.32,73.64,26.29,58.21,6.61,15.14,22.18,11.79,23.14,16.68,15.5,7.64,2.54,21.39
2003,1347,63.1,73.33,21.4,57.83,6.2,14.1,21.0,11.97,23.2,9.27,14.33,5.53,3.3,19.53
2003,1348,70.66,70.24,24.48,61.34,5.41,16.28,24.34,15.38,23.0,13.24,13.72,8.24,2.41,20.28
2003,1349,72.85,70.44,25.26,54.81,6.26,16.07,21.56,10.78,23.52,15.3,16.52,8.07,3.22,20.48
2003,1350,65.71,62.29,22.89,54.96,6.64,13.29,18.93,11.14,22.29,13.04,12.25,6.61,3.96,18.25
2003,1351,66.96,68.57,23.82,57.0,6.93,12.39,16.89,10.96,22.82,13.21,13.39,7.25,3.46,18.0
