,Season,Wins,Seed,TeamID
111,2004,0,15,1186
112,2004,0,16,1251
113,2004,1,01,1246
114,2004,1,02,1211
115,2004,5,03,1210
116,2004,3,04,1242
117,2004,0,05,1344
118,2004,1,06,1130
119,2004,0,07,1277
120,2004,0,08,1449
121,2004,2,09,1412
122,2004,2,10,1305
123,2004,0,11,1428
124,2004,1,12,1334
125,2004,0,13,1227
126,2004,0,14,1320
127,2004,0,15,1434
128,2004,1,16,1197
129,2004,0,16,1250
130,2005,2,01,1449
131,2005,1,02,1448
132,2005,1,03,1211
133,2005,4,04,1257
134,2005,1,05,1210
135,2005,2,06,1403
136,2005,3,07,1452
137,2005,1,08,1334
138,2005,0,09,1338
139,2005,0,10,1166
140,2005,0,11,1417
141,2005,0,12,1203
142,2005,0,13,1418
143,2005,0,14,1457
144,2005,0,15,1151
145,2005,0,16,1285
146,2005,5,01,1228
147,2005,2,02,1329
148,2005,3,03,1112
149,2005,1,04,1130
150,2005,0,05,1104
151,2005,0,06,1261
152,2005,1,07,1356
153,2005,0,08,1400
154,2005,1,09,1305
155,2005,0,10,1388
156,2005,1,11,1412
157,2005,2,12,1454
158,2005,0,13,1335
159,2005,0,14,1429
160,2005,0,15,1368
161,2005,0,16,1192
162,2005,2,01,1181
163,2005,3,02,1246
164,2005,1,03,1328
165,2005,0,04,1393
166,2005,4,05,1277
167,2005,2,06,1428
168,2005,1,07,1153
169,2005,0,08,1390
170,2005,1,09,1280
171,2005,0,10,1234
172,2005,0,11,1431
173,2005,0,12,1330
174,2005,1,13,1436
175,2005,0,14,1310
176,2005,0,15,1184
177,2005,0,16,1175
178,2005,6,01,1314
179,2005,1,02,1163
180,2005,0,03,1242
181,2005,1,04,1196
182,2005,2,05,1437
183,2005,3,06,1458
184,2005,0,07,1150
185,2005,0,08,1278
186,2005,1,09,1235
187,2005,2,10,1301
188,2005,0,11,1320
189,2005,0,12,1307
190,2005,0,13,1325
191,2005,1,14,1137
192,2005,0,15,1416
193,2005,0,16,1105
194,2005,1,16,1324
195,2006,2,01,1181
196,2006,3,02,1400
197,2006,0,03,1234
198,2006,4,04,1261
199,2006,0,05,1393
200,2006,2,06,1452
201,2006,0,07,1143
202,2006,1,08,1203
203,2006,0,09,1423
204,2006,1,10,1301
205,2006,0,11,1356
206,2006,1,12,1401
207,2006,0,13,1233
208,2006,1,14,1322
209,2006,0,15,1335
210,2006,0,16,1380
211,2006,3,01,1272
212,2006,5,02,1417
213,2006,2,03,1211
214,2006,0,04,1242
215,2006,1,05,1338
216,2006,1,06,1231
217,2006,0,07,1266
218,2006,0,08,1116
219,2006,1,09,1137
220,2006,1,10,1104
221,2006,0,11,1361
222,2006,0,12,1245
223,2006,2,13,1133
224,2006,0,14,1462
225,2006,0,15,1125
226,2006,0,16,1331
227,2006,3,01,1437
228,2006,1,02,1326
229,2006,6,03,1196
230,2006,2,04,1130
231,2006,0,05,1305
232,2006,0,06,1328
233,2006,2,07,1207
234,2006,1,08,1112
235,2006,0,09,1458
236,2006,0,10,1320
237,2006,1,11,1454
238,2006,1,12,1285
239,2006,0,13,1334
240,2006,0,14,1375
241,2006,0,15,1172
242,2006,0,16,1214
243,2006,1,16,1284
244,2006,3,01,1163
245,2006,1,02,1397
246,2006,1,03,1314
247,2006,1,04,1228
248,2006,2,05,1449
249,2006,0,06,1277
250,2006,2,07,1455
251,2006,1,08,1246
252,2006,0,09,1412
253,2006,0,10,1371
254,2006,4,11,1206
255,2006,0,12,1429
256,2006,0,13,1102
257,2006,0,14,1293
258,2006,0,15,1457
259,2006,0,16,1107
260,2007,3,01,1314
261,2007,4,02,1207
262,2007,1,03,1450
263,2007,1,04,1400
264,2007,2,05,1425
265,2007,2,06,1435
266,2007,1,07,1130
267,2007,0,08,1266
268,2007,1,09,1277
269,2007,0,10,1403
270,2007,0,11,1203
271,2007,0,12,1116
272,2007,0,13,1308
273,2007,0,14,1331
274,2007,0,15,1125
275,2007,0,16,1184
276,2007,5,01,1326
277,2007,3,02,1272
278,2007,2,03,1401
279,2007,1,04,1438
280,2007,2,05,1397
281,2007,1,06,1257
282,2007,1,07,1305
283,2007,0,08,1140
284,2007,1,09,1462
285,2007,0,10,1166
286,2007,0,11,1390
287,2007,0,12,1253
288,2007,0,13,1107
289,2007,0,14,1335
290,2007,0,15,1317
291,2007,0,16,1148
292,2007,6,01,1196
293,2007,1,02,1458
294,2007,3,03,1332
295,2007,1,04,1268
296,2007,2,05,1139
297,2007,0,06,1323
298,2007,2,07,1424
299,2007,0,08,1112
300,2007,1,09,1345
301,2007,0,10,1210
302,2007,1,11,1457
303,2007,0,12,1330
304,2007,0,13,1172
305,2007,0,14,1275
306,2007,0,15,1394
307,2007,0,16,1238
308,2007,3,01,1242
309,2007,4,02,1417
310,2007,2,03,1338
311,2007,2,04,1356
312,2007,1,05,1439
313,2007,0,06,1181
314,2007,1,07,1231
315,2007,1,08,1246
316,2007,0,09,1437
317,2007,0,10,1211
318,2007,1,11,1433
319,2007,0,12,1228
320,2007,0,13,1221
321,2007,0,14,1460
322,2007,0,15,1451
323,2007,0,16,1197
324,2007,1,16,1310
325,2008,4,01,1314
326,2008,2,02,1397
327,2008,3,03,1257
328,2008,2,04,1450
329,2008,1,05,1323
330,2008,1,06,1328
331,2008,1,07,1139
332,2008,0,08,1231
333,2008,1,09,1116
334,2008,0,10,1375
335,2008,0,11,1386
336,2008,0,12,1206
337,2008,0,13,1457
338,2008,0,14,1129
339,2008,0,15,1110
340,2008,0,16,1164
341,2008,1,16,1291
342,2008,6,01,1242
343,2008,1,02,1207
344,2008,2,03,1458
345,2008,0,04,1435
346,2008,0,05,1155
347,2008,0,06,1425
348,2008,0,07,1211
349,2008,1,08,1424
350,2008,0,09,1245
351,2008,3,10,1172
352,2008,1,11,1243
353,2008,2,12,1437
354,2008,1,13,1373
355,2008,0,14,1168
356,2008,0,15,1420
357,2008,0,16,1340
358,2008,5,01,1272
359,2008,3,02,1400
360,2008,2,03,1390
361,2008,1,04,1338
362,2008,2,05,1277
363,2008,1,06,1266
364,2008,1,07,1274
365,2008,1,08,1280
366,2008,0,09,1332
367,2008,0,10,1388
368,2008,0,11,1246
369,2008,0,12,1396
370,2008,0,13,1331
371,2008,0,14,1165
372,2008,0,15,1122
373,2008,0,16,1426
374,2008,4,01,1417
375,2008,1,02,1181
376,2008,3,03,1462
377,2008,0,04,1163
378,2008,0,05,1179
379,2008,1,06,1345
380,2008,2,07,1452
381,2008,0,08,1140
382,2008,1,09,1401
383,2008,0,10,1112
384,2008,0,11,1124
385,2008,2,12,1443
386,2008,1,13,1360
387,2008,0,14,1208
388,2008,0,15,1125
389,2008,0,16,1290
390,2009,3,01,1338
391,2009,2,02,1181
392,2009,4,03,1437
393,2009,2,04,1462
394,2009,0,05,1199
395,2009,1,06,1417
396,2009,1,07,1400
397,2009,1,08,1329
398,2009,0,09,1397
399,2009,0,10,1278
400,2009,0,11,1433
401,2009,1,12,1458
402,2009,0,13,1340
403,2009,0,14,1110
404,2009,0,15,1127
405,2009,0,16,1190
406,2009,6,01,1314
407,2009,3,02,1328
408,2009,2,03,1393
409,2009,2,04,1211
410,2009,0,05,1228
411,2009,1,06,1113
412,2009,0,07,1155
413,2009,1,08,1261
414,2009,0,09,1139
415,2009,1,10,1276
416,2009,0,11,1396
417,2009,1,12,1443
418,2009,0,13,1103
419,2009,0,14,1372
420,2009,0,15,1288
421,2009,0,16,1347
422,2009,3,01,1257
423,2009,5,02,1277
424,2009,2,03,1242
425,2009,0,04,1448
426,2009,0,05,1428
427,2009,0,06,1452
428,2009,0,07,1130
429,2009,0,08,1326
430,2009,1,09,1373
431,2009,1,10,1425
432,2009,1,11,1173
433,2009,2,12,1112
434,2009,1,13,1156
435,2009,0,14,1295
436,2009,0,15,1352
437,2009,0,16,1106
438,2009,1,16,1287
439,2009,4,01,1163
440,2009,2,02,1272
441,2009,3,03,1281
442,2009,1,04,1449
443,2009,2,05,1345
444,2009,1,06,1266
445,2009,0,07,1143
446,2009,0,08,1140
447,2009,1,09,1401
448,2009,1,10,1268
449,2009,0,11,1429
450,2009,0,12,1320
451,2009,0,13,1280
452,2009,0,14,1165
453,2009,0,15,1169
454,2009,0,16,1151
455,2010,3,01,1246
456,2010,4,02,1452
457,2010,1,03,1307
458,2010,1,04,1458
459,2010,0,05,1396
460,2010,0,06,1266
461,2010,0,07,1155
462,2010,0,08,1400
463,2010,1,09,1448
464,2010,1,10,1281
465,2010,2,11,1449
466,2010,2,12,1165
467,2010,0,13,1459
468,2010,0,14,1285
469,2010,0,15,1288
470,2010,0,16,1190
471,2010,6,01,1181
472,2010,1,02,1437
473,2010,3,03,1124
474,2010,2,04,1345
475,2010,1,05,1401
476,2010,0,06,1323
477,2010,0,07,1350
478,2010,1,08,1143
479,2010,0,09,1257
480,2010,2,10,1388
481,2010,1,11,1330
482,2010,0,12,1429
483,2010,0,13,1373
484,2010,0,14,1358
485,2010,0,15,1352
486,2010,1,16,1115
487,2010,0,16,1457
488,2010,1,01,1242
489,2010,2,02,1326
490,2010,0,03,1207
491,2010,1,04,1268
492,2010,4,05,1277
493,2010,3,06,1397
494,2010,0,07,1329
495,2010,0,08,1424
496,2010,2,09,1320
497,2010,1,10,1210
498,2010,0,11,1361
499,2010,0,12,1308
500,2010,0,13,1222
501,2010,1,14,1325
502,2010,0,15,1364
503,2010,0,16,1250
504,2010,2,01,1393
505,2010,3,02,1243
506,2010,1,03,1338
507,2010,0,04,1435
508,2010,5,05,1139
509,2010,2,06,1462
510,2010,1,07,1140
511,2010,1,08,1211
512,2010,0,09,1199
513,2010,0,10,1196
514,2010,0,11,1278
515,2010,0,12,1431
516,2010,1,13,1293
517,2010,0,14,1324
518,2010,0,15,1317
519,2010,0,16,1436
520,2011,2,01,1326
521,2011,3,02,1314
522,2011,1,03,1393
523,2011,4,04,1246
524,2011,1,05,1452
525,2011,0,06,1462
526,2011,1,07,1449
527,2011,1,08,1206
528,2011,0,09,1437
529,2011,0,10,1208
530,2011,2,11,1266
531,2011,1,12,1155
532,2011,0,12,1412
533,2011,0,13,1343
534,2011,0,14,1232
535,2011,0,15,1254
536,2011,0,16,1106
537,2011,1,16,1427
538,2011,2,01,1181
539,2011,2,02,1361
540,2011,6,03,1163
541,2011,1,04,1400
542,2011,3,05,1112
543,2011,1,06,1153
544,2011,1,07,1396
545,2011,1,08,1276
546,2011,0,09,1397
547,2011,0,10,1336
548,2011,0,11,1281
549,2011,0,12,1272
550,2011,0,13,1324
551,2011,0,14,1137
552,2011,0,15,1294
553,2011,0,16,1214
554,2011,1,01,1338
555,2011,3,02,1196
556,2011,2,03,1140
557,2011,2,04,1458
558,2011,1,05,1243
559,2011,0,06,1385
560,2011,1,07,1417
561,2011,5,08,1139
562,2011,0,09,1330
563,2011,0,10,1277
564,2011,1,11,1211
565,2011,0,12,1429
566,2011,0,13,1125
567,2011,0,14,1459
568,2011,0,15,1364
569,2011,0,16,1114
570,2011,1,16,1421
571,2011,3,01,1242
572,2011,1,02,1323
573,2011,1,03,1345
574,2011,0,04,1257
575,2011,0,05,1435
576,2011,0,06,1207
577,2011,0,07,1401
578,2011,0,08,1424
579,2011,1,09,1228
580,2011,2,10,1199
581,2011,0,11,1425
582,2011,5,11,1433
583,2011,2,12,1350
584,2011,1,13,1287
585,2011,0,14,1389
586,2011,0,15,1103
587,2011,0,16,1131
588,2012,3,01,1393
589,2012,4,02,1326
590,2012,1,03,1199
591,2012,2,04,1458
592,2012,1,05,1435
593,2012,2,06,1153
594,2012,1,07,1211
595,2012,1,08,1243
596,2012,0,09,1379
597,2012,0,10,1452
598,2012,0,11,1400
599,2012,0,12,1217
600,2012,0,13,1285
601,2012,0,14,1382
602,2012,0,15,1259
603,2012,0,16,1421
604,2012,3,01,1314
605,2012,5,02,1242
606,2012,1,03,1207
607,2012,0,04,1276
608,2012,0,05,1396
609,2012,0,06,1361
610,2012,0,07,1388
611,2012,1,08,1166
612,2012,0,09,1104
613,2012,1,10,1345
614,2012,2,11,1301
615,2012,0,12,1143
616,2012,2,12,1378
617,2012,2,13,1325
618,2012,0,14,1125
619,2012,0,15,1178
620,2012,0,16,1249
621,2012,1,16,1436
622,2012,6,01,1246
623,2012,0,02,1181
624,2012,3,03,1124
625,2012,2,04,1231
626,2012,0,05,1455
627,2012,0,06,1424
628,2012,0,07,1323
629,2012,1,08,1235
630,2012,0,09,1163
631,2012,2,10,1462
632,2012,1,11,1160
633,2012,1,12,1433
634,2012,0,13,1308
635,2012,0,14,1355
636,2012,1,15,1250
637,2012,0,16,1290
638,2012,1,16,1443
639,2012,2,01,1277
640,2012,0,02,1281
641,2012,2,03,1266
642,2012,4,04,1257
643,2012,1,05,1307
644,2012,1,06,1293
645,2012,3,07,1196
646,2012,0,08,1272
647,2012,1,09,1387
648,2012,0,10,1438
649,2012,0,11,1161
650,2012,0,12,1253
651,2012,0,13,1172
652,2012,1,14,1140
653,2012,0,14,1233
654,2012,1,15,1313
655,2012,0,16,1254
656,2013,2,01,1231
657,2013,2,02,1274
658,2013,3,03,1266
659,2013,4,04,1393
660,2013,0,05,1424
661,2013,1,06,1139
662,2013,1,07,1228
663,2013,0,08,1301
664,2013,1,09,1396
665,2013,0,10,1160
666,2013,0,11,1137
667,2013,1,12,1143
668,2013,0,13,1285
669,2013,0,14,1172
670,2013,0,15,1334
671,2013,1,16,1241
672,2013,0,16,1254
673,2013,2,01,1242
674,2013,0,02,1207
675,2013,3,03,1196
676,2013,5,04,1276
677,2013,1,05,1433
678,2013,0,06,1417
679,2013,1,07,1361
680,2013,1,08,1314
681,2013,0,09,1437
682,2013,0,10,1328
683,2013,1,11,1278
684,2013,0,12,1103
685,2013,0,13,1355
686,2013,0,14,1322
687,2013,2,15,1195
688,2013,0,16,1443
689,2013,6,01,1257
690,2013,3,02,1181
691,2013,2,03,1277
692,2013,1,04,1387
693,2013,0,05,1329
694,2013,1,06,1272
695,2013,1,07,1166
696,2013,1,08,1161
697,2013,0,09,1281
698,2013,0,10,1153
699,2013,0,11,1292
700,2013,1,11,1388
701,2013,2,12,1332
702,2013,0,13,1308
703,2013,0,14,1434
704,2013,0,15,1107
705,2013,0,16,1251
706,2013,1,16,1299
707,2013,1,01,1211
708,2013,3,02,1326
709,2013,0,03,1307
710,2013,0,04,1243
711,2013,0,05,1458
712,2013,2,06,1112
713,2013,0,07,1323
714,2013,0,08,1338
715,2013,4,09,1455
716,2013,1,10,1235
717,2013,0,11,1125
718,2013,1,12,1279
719,2013,0,13,1129
720,2013,3,13,1247
721,2013,1,14,1217
722,2013,0,15,1233
723,2013,0,16,1380
724,2014,2,01,1438
725,2014,1,02,1437
726,2014,2,03,1235
727,2014,3,04,1277
728,2014,0,05,1153
729,2014,1,06,1314
730,2014,6,07,1163
731,2014,1,08,1272
732,2014,0,09,1203
733,2014,0,10,1386
734,2014,0,11,1344
735,2014,1,12,1217
736,2014,0,13,1174
737,2014,0,14,1300
738,2014,0,15,1454
739,2014,0,16,1157
740,2014,4,01,1196
741,2014,1,02,1242
742,2014,1,03,1393
743,2014,2,04,1417
744,2014,0,05,1433
745,2014,0,06,1326
746,2014,0,07,1307
747,2014,0,08,1160
748,2014,1,09,1338
749,2014,2,10,1390
750,2014,3,11,1173
751,2014,1,12,1372
752,2014,0,13,1409
753,2014,0,14,1444
754,2014,0,15,1184
755,2014,1,16,1107
756,2014,0,16,1291
757,2014,1,01,1455
758,2014,3,02,1276
759,2014,0,03,1181
760,2014,2,04,1257
761,2014,1,05,1387
762,2014,0,06,1269
763,2014,1,07,1400
764,2014,5,08,1246
765,2014,0,09,1243
766,2014,0,10,1113
767,2014,0,11,1234
768,2014,3,11,1397
769,2014,1,12,1301
770,2014,0,12,1462
771,2014,0,13,1264
772,2014,1,14,1273
773,2014,0,15,1459
774,2014,1,16,1142
775,2014,0,16,1411
776,2014,3,01,1112
777,2014,4,02,1458
778,2014,1,03,1166
779,2014,2,04,1361
780,2014,0,05,1328
781,2014,2,06,1124
782,2014,1,07,1332
783,2014,1,08,1211
784,2014,0,09,1329
785,2014,0,10,1140
786,2014,0,11,1304
787,2014,1,12,1295
788,2014,0,13,1308
789,2014,0,14,1418
790,2014,0,15,1110
791,2014,0,16,1451
792,2015,1,01,1437
793,2015,1,02,1438
794,2015,2,03,1328
795,2015,3,04,1257
796,2015,1,05,1320
797,2015,0,06,1344
798,2015,4,07,1277
799,2015,2,08,1301
800,2015,0,09,1261
801,2015,0,10,1208
802,2015,0,11,1129
803,2015,2,11,1173
804,2015,0,12,1461
805,2015,0,13,1414
806,2015,0,14,1107
807,2015,0,15,1125
808,2015,0,16,1248
809,2015,6,01,1181
810,2015,3,02,1211
811,2015,0,03,1235
812,2015,1,04,1207
813,2015,2,05,1428
814,2015,0,06,1374
815,2015,1,07,1234
816,2015,1,08,1361
817,2015,0,09,1385
818,2015,0,10,1172
819,2015,2,11,1417
820,2015,0,12,1372
821,2015,0,13,1186
822,2015,1,14,1412
823,2015,0,15,1295
824,2015,0,16,1316
825,2015,1,16,1352
826,2015,4,01,1246
827,2015,1,02,1242
828,2015,3,03,1323
829,2015,1,04,1268
830,2015,2,05,1452
831,2015,1,06,1139
832,2015,2,07,1455
833,2015,1,08,1153
834,2015,0,09,1345
835,2015,0,10,1231
836,2015,0,11,1400
837,2015,0,12,1138
838,2015,0,13,1434
839,2015,0,14,1318
840,2015,0,15,1308
841,2015,1,16,1214
842,2015,0,16,1264
843,2015,5,01,1458
844,2015,3,02,1112
845,2015,0,03,1124
846,2015,2,04,1314
847,2015,1,05,1116
848,2015,2,06,1462
849,2015,0,07,1433
850,2015,1,08,1332
851,2015,0,09,1329
852,2015,1,10,1326
853,2015,0,11,1140
854,2015,1,11,1279
855,2015,0,12,1459
856,2015,0,13,1217
857,2015,1,14,1209
858,2015,0,15,1411
859,2015,0,16,1157
860,2016,5,01,1314
861,2016,1,02,1462
862,2016,0,03,1452
863,2016,1,04,1246
864,2016,2,05,1231
865,2016,3,06,1323
866,2016,2,07,1458
867,2016,0,08,1425
868,2016,1,09,1344
869,2016,0,10,1338
870,2016,1,11,1276
871,2016,0,11,1409
872,2016,0,12,1151
873,2016,0,13,1392
874,2016,1,14,1372
875,2016,0,15,1451
876,2016,0,16,1192
877,2016,1,16,1195
878,2016,3,01,1438
879,2016,0,02,1277
880,2016,1,03,1428
881,2016,2,04,1235
882,2016,0,05,1345
883,2016,0,06,1371
884,2016,0,07,1173
885,2016,0,08,1403
886,2016,1,09,1139
887,2016,4,10,1393
888,2016,2,11,1211
889,2016,1,12,1114
890,2016,0,13,1233
891,2016,0,14,1201
892,2016,1,15,1292
893,2016,0,16,1214
894,2016,3,01,1242
895,2016,6,02,1437
896,2016,2,03,1274
897,2016,0,04,1143
898,2016,2,05,1268
899,2016,0,06,1112
900,2016,1,07,1234
901,2016,0,08,1160
902,2016,1,09,1163
903,2016,0,10,1396
904,2016,0,11,1435
905,2016,2,11,1455
906,2016,0,12,1355
907,2016,1,13,1218
908,2016,0,14,1138
909,2016,0,15,1421
910,2016,0,16,1122
911,2016,3,01,1332
912,2016,4,02,1328
913,2016,2,03,1401
914,2016,2,04,1181
915,2016,0,05,1124
916,2016,0,06,1400
917,2016,0,07,1333
918,2016,1,08,1386
919,2016,0,09,1153
920,2016,1,10,1433
921,2016,1,11,1320
922,2016,1,12,1463
923,2016,0,13,1423
924,2016,0,14,1453
925,2016,0,15,1167
926,2016,1,16,1221
927,2016,0,16,1380
928,2017,1,01,1437
929,2017,1,02,1181
930,2017,2,03,1124
931,2017,3,04,1196
932,2017,1,05,1438
933,2017,0,06,1374
934,2017,4,07,1376
935,2017,2,08,1458
936,2017,0,09,1439
937,2017,0,10,1266
938,2017,0,11,1344
939,2017,2,11,1425
940,2017,0,12,1423
941,2017,0,13,1190
942,2017,0,14,1308
943,2017,0,15,1407
944,2017,1,16,1291
945,2017,0,16,1309
946,2017,5,01,1211
947,2017,2,02,1112
948,2017,1,03,1199
949,2017,2,04,1452
950,2017,1,05,1323
951,2017,0,06,1268
952,2017,1,07,1388
953,2017,1,08,1321
954,2017,0,09,1435
955,2017,0,10,1433
956,2017,3,11,1462
957,2017,0,12,1343
958,2017,0,13,1137
959,2017,0,14,1195
960,2017,0,15,1315
961,2017,0,16,1355
962,2017,3,01,1242
963,2017,1,02,1257
964,2017,4,03,1332
965,2017,2,04,1345
966,2017,1,05,1235
967,2017,0,06,1166
968,2017,2,07,1276
969,2017,0,08,1274
970,2017,1,09,1277
971,2017,0,10,1329
972,2017,1,11,1348
973,2017,0,12,1305
974,2017,0,13,1436
975,2017,0,14,1233
976,2017,0,15,1240
977,2017,0,16,1300
978,2017,1,16,1413
979,2017,6,01,1314
980,2017,3,02,1246
981,2017,2,03,1417
982,2017,2,04,1139
983,2017,0,05,1278
984,2017,1,06,1153
985,2017,0,07,1173
986,2017,1,08,1116
987,2017,0,09,1371
988,2017,1,10,1455
989,2017,1,11,1243
990,2017,0,11,1448
991,2017,1,12,1292
992,2017,0,13,1457
993,2017,0,14,1245
994,2017,0,15,1297
995,2017,0,16,1411
996,2018,6,01,1437
997,2018,2,02,1345
998,2018,3,03,1403
999,2018,0,04,1455
1000,2018,2,05,1452
1001,2018,1,06,1196
1002,2018,0,07,1116
1003,2018,0,08,1439
1004,2018,1,09,1104
1005,2018,1,10,1139
1006,2018,1,11,1382
1007,2018,0,11,1417
1008,2018,0,12,1293
1009,2018,1,13,1267
1010,2018,0,14,1372
1011,2018,0,15,1168
1012,2018,0,16,1254
1013,2018,1,16,1347
1014,2018,4,01,1242
1015,2018,3,02,1181
1016,2018,1,03,1277
1017,2018,1,04,1120
1018,2018,2,05,1155
1019,2018,0,06,1395
1020,2018,1,07,1348
1021,2018,1,08,1371
1022,2018,0,09,1301
1023,2018,0,10,1328
1024,2018,0,11,1113
1025,2018,3,11,1393
1026,2018,0,12,1308
1027,2018,0,13,1158
1028,2018,0,14,1137
1029,2018,0,15,1233
1030,2018,0,16,1335
1031,2018,0,01,1438
1032,2018,1,02,1153
1033,2018,1,03,1397
1034,2018,0,04,1112
1035,2018,2,05,1246
1036,2018,0,06,1274
1037,2018,2,07,1305
1038,2018,0,08,1166
1039,2018,3,09,1243
1040,2018,0,10,1400
1041,2018,4,11,1260
1042,2018,0,12,1172
1043,2018,1,13,1138
1044,2018,0,14,1460
1045,2018,0,15,1209
1046,2018,1,16,1420
1047,2018,1,01,1462
1048,2018,1,02,1314
1049,2018,5,03,1276
1050,2018,2,04,1211
1051,2018,1,05,1326
1052,2018,1,06,1222
1053,2018,2,07,1401
1054,2018,0,08,1281
1055,2018,3,09,1199
1056,2018,0,10,1344
1057,2018,0,11,1361
1058,2018,0,12,1355
1059,2018,0,13,1422
1060,2018,0,14,1285
1061,2018,0,15,1252
1062,2018,0,16,1300
1063,2018,1,16,1411
1064,2019,3,01,1181
1065,2019,4,02,1277
1066,2019,2,03,1261
1067,2019,2,04,1439
1068,2019,0,05,1280
1069,2019,1,06,1268
1070,2019,0,07,1257
1071,2019,0,08,1433
1072,2019,1,09,1416
1073,2019,1,10,1278
1074,2019,1,11,1125
1075,2019,0,11,1396
1076,2019,1,12,1251
1077,2019,0,13,1387
1078,2019,0,14,1463
1079,2019,0,15,1133
1080,2019,1,16,1295
1081,2019,0,16,1300
1082,2019,3,01,1211
1083,2019,2,02,1276
1084,2019,5,03,1403
1085,2019,2,04,1199
1086,2019,0,05,1266
1087,2019,1,06,1138
1088,2019,0,07,1305
1089,2019,0,08,1393
1090,2019,1,09,1124
1091,2019,1,10,1196
1092,2019,1,11,1113
1093,2019,0,11,1385
1094,2019,1,12,1293
1095,2019,0,13,1436
1096,2019,0,14,1297
1097,2019,0,15,1285
1098,2019,1,16,1192
1099,2019,0,16,1341
1100,2019,2,01,1314
1101,2019,3,02,1246
1102,2019,2,03,1222
1103,2019,1,04,1242
1104,2019,4,05,1120
1105,2019,0,06,1235
1106,2019,1,07,1459
1107,2019,0,08,1429
1108,2019,1,09,1449
1109,2019,0,10,1371
1110,2019,1,11,1326
1111,2019,0,12,1308
1112,2019,0,13,1318
1113,2019,0,14,1209
1114,2019,0,15,1101
1115,2019,0,16,1233
1116,2019,6,01,1438
1117,2019,2,02,1397
1118,2019,3,03,1345
1119,2019,0,04,1243
1120,2019,0,05,1458
1121,2019,1,06,1437
1122,2019,0,07,1153
1123,2019,0,08,1279
1124,2019,1,09,1328
1125,2019,1,10,1234
1126,2019,0,11,1388
1127,2019,2,12,1332
1128,2019,1,13,1414
1129,2019,0,14,1330
1130,2019,0,15,1159
1131,2019,0,16,1205
1132,2021,3,01,1276
1133,2021,2,02,1104
1134,2021,0,03,1400
1135,2021,2,04,1199
1136,2021,1,05,1160
1137,2021,0,06,1140
1138,2021,0,07,1163
1139,2021,1,08,1261
1140,2021,0,09,1382
1141,2021,1,10,1268
1142,2021,0,11,1277
1143,2021,5,11,1417
1144,2021,0,12,1207
1145,2021,0,13,1422
1146,2021,1,14,1101
1147,2021,0,15,1233
1148,2021,0,16,1291
1149,2021,1,16,1411
1150,2021,5,01,1211
