,TeamID,Season,PointScored,PointAllow,FG,oppFG,FGA,oppFGA,3P,opp3P,FT,oppFT,FTA,oppFTA,TO,oppTO,ORB,oppOR,DRB,oppDR,Ast,Stl,Blk,PF,oppORB,OR,oppDRB,DR,Wins,Seed
11,1139,2003,68.59,60.93,24.07,23.03,50.66,51.62,8.48,4.9,11.97,9.97,16.55,15.0,10.41,12.0,7.62,9.79,20.75,19.46,12.97,6.34,1.86,16.07,13.6,8.8,23.8,18.6,2,12
12,1122,2003,69.7,67.7,23.56,24.3,52.07,56.78,6.0,6.3,16.59,12.81,24.0,18.67,15.22,14.0,10.4,11.7,25.15,20.8,13.41,7.04,4.67,18.67,11.57,11.29,27.43,21.57,0,13
13,1264,2003,76.17,67.76,25.93,23.07,57.55,55.41,5.52,4.34,18.79,17.28,23.9,23.86,14.21,17.72,11.35,12.91,24.26,21.96,13.86,9.17,3.9,21.93,11.5,11.17,27.17,19.67,0,14
14,1190,2003,79.7,77.48,28.07,27.56,61.41,62.48,5.22,7.11,18.33,15.26,24.81,20.96,18.74,18.89,14.06,14.76,25.82,20.71,14.04,10.7,5.26,19.52,12.3,13.9,25.6,21.0,0,15
15,1354,2003,72.8,71.27,24.8,24.0,54.37,57.93,5.17,7.17,18.03,16.1,25.8,24.5,19.47,17.4,12.1,14.65,25.65,19.2,10.27,8.0,2.9,20.73,13.4,14.7,25.2,21.5,0,16
16,1400,2003,78.86,68.68,28.0,24.36,62.43,59.21,5.86,6.11,17.0,13.86,23.79,21.04,13.43,14.18,16.23,12.23,26.64,20.73,14.5,6.39,3.86,20.36,15.5,16.0,26.67,24.33,4,01
17,1196,2003,75.9,64.68,26.94,24.23,56.52,57.26,8.68,5.81,13.35,10.42,18.94,16.0,13.39,15.06,11.17,12.62,24.83,21.21,16.42,7.77,4.1,16.9,9.71,9.57,23.57,22.29,1,02
18,1462,2003,78.23,65.97,26.8,25.2,59.2,61.63,6.43,6.23,18.2,9.33,24.37,14.07,13.03,14.0,14.0,12.48,25.72,20.6,16.4,5.47,3.03,15.77,11.2,13.6,25.0,24.4,1,03
19,1390,2003,72.26,66.97,25.65,23.58,58.03,57.84,6.94,5.74,14.03,14.06,20.77,19.97,14.32,13.06,12.78,11.61,25.78,21.17,14.65,5.52,3.35,18.52,10.75,16.5,22.75,23.25,1,04
20,1163,2003,80.03,71.4,29.53,24.87,62.2,65.37,6.07,6.43,14.9,15.23,22.1,21.0,15.8,13.37,15.24,16.57,29.52,20.57,15.63,5.93,7.73,18.4,12.44,13.67,23.67,24.11,2,05
21,1268,2003,80.79,66.86,29.43,22.93,63.36,60.57,6.75,6.5,15.18,14.5,21.57,20.89,14.11,18.32,13.47,13.95,27.58,21.16,18.89,10.89,6.61,19.0,15.11,14.33,28.78,25.0,2,06
22,1277,2003,67.23,60.97,23.03,20.16,51.1,50.32,4.9,5.77,16.26,14.87,22.13,20.74,14.55,14.29,10.11,10.32,24.68,18.58,13.61,6.39,3.71,20.03,7.75,11.58,22.83,23.58,3,07
23,1261,2003,73.23,62.9,26.81,22.87,55.06,56.13,6.74,6.29,12.87,10.87,19.87,16.29,13.87,15.55,10.76,11.1,25.95,18.81,16.39,8.0,4.16,16.35,11.8,10.3,26.9,21.5,0,08
24,1345,2003,71.75,65.25,23.75,22.61,54.39,54.5,5.11,5.36,19.14,14.68,25.5,20.29,13.82,16.39,10.22,11.17,25.44,21.83,12.25,7.18,2.93,19.82,9.7,10.7,26.4,19.9,1,09
25,1160,2003,75.52,70.06,27.19,25.39,61.32,63.35,4.97,6.74,16.16,12.55,23.94,18.48,14.0,12.55,14.05,14.2,28.9,19.75,13.39,6.13,6.65,17.71,12.27,15.27,29.45,26.27,0,10
26,1423,2003,71.37,59.6,26.03,20.93,56.4,52.23,6.77,5.67,12.53,12.07,18.2,18.23,11.47,16.93,10.46,11.46,24.12,22.92,14.67,9.2,1.9,18.43,11.67,8.0,26.0,19.17,0,11
27,1140,2003,72.45,63.68,24.03,20.97,51.26,51.26,6.19,5.0,18.19,16.74,24.16,23.48,13.74,14.48,10.22,10.39,25.0,19.17,13.42,6.94,2.52,21.42,10.5,12.75,23.12,22.75,0,12
28,1360,2003,74.68,71.57,25.21,26.07,53.54,60.21,6.93,6.71,17.32,12.71,26.32,18.64,18.18,15.18,11.24,10.65,27.53,20.41,16.39,5.39,3.43,20.14,12.27,12.0,24.18,24.55,0,13
29,1407,2003,79.37,70.57,28.23,25.03,65.33,60.27,9.47,8.1,13.43,12.4,19.53,18.1,13.73,17.73,14.88,13.0,25.6,23.6,15.07,9.53,5.2,16.6,15.6,16.0,31.2,20.2,0,14
30,1358,2003,71.78,65.26,24.3,22.48,53.37,57.96,6.48,5.44,16.7,14.85,23.52,21.67,15.7,14.89,10.81,12.86,26.33,21.05,15.59,7.81,5.59,19.59,15.0,10.67,25.5,24.67,0,15
31,1411,2003,72.8,70.83,24.73,25.67,55.27,60.4,5.93,7.53,17.4,11.97,28.07,18.73,15.23,14.33,12.0,13.5,27.56,21.44,14.2,6.43,2.23,18.3,9.58,14.92,25.0,20.67,0,16
32,1421,2003,71.21,78.45,24.38,27.79,56.79,60.97,6.48,7.62,15.97,15.24,20.93,22.55,16.21,12.83,12.31,12.69,26.38,21.38,13.03,7.07,3.0,19.1,14.56,12.25,24.0,20.56,1,16
33,1246,2003,77.53,64.09,28.47,23.0,58.41,55.78,5.91,5.78,14.69,12.31,20.78,18.06,14.06,16.47,12.86,11.41,24.48,19.31,16.19,7.81,5.09,17.38,9.0,13.0,26.33,21.0,3,01
34,1338,2003,74.6,58.83,26.87,20.47,53.5,53.37,6.37,5.23,14.5,12.67,22.8,18.4,15.1,16.17,11.42,10.73,25.69,18.65,17.77,8.07,4.1,17.97,7.5,10.5,26.75,23.25,2,02
35,1266,2003,78.39,67.68,27.21,23.82,56.25,58.68,5.79,6.71,18.18,13.32,23.61,19.14,13.57,12.5,13.09,12.57,24.3,17.35,16.32,6.0,3.64,18.64,13.2,13.2,24.2,23.0,4,03
36,1173,2003,72.79,66.31,24.48,23.9,54.21,56.59,7.52,5.93,16.31,12.59,22.79,17.59,13.31,11.86,13.5,12.54,23.83,18.58,15.21,5.38,2.93,17.59,10.4,13.4,22.6,20.0,0,04
37,1458,2003,70.72,58.69,25.03,22.21,53.9,51.59,6.24,5.07,14.41,9.21,19.45,12.62,10.52,13.97,10.55,8.41,23.32,19.91,13.31,6.97,2.83,14.83,7.57,9.57,27.29,20.14,2,05
38,1281,2003,71.77,66.48,26.16,24.13,59.19,59.94,7.48,5.81,11.97,12.42,18.16,18.45,13.61,13.19,13.52,13.43,27.24,22.14,13.74,5.71,4.32,16.87,12.6,13.4,25.6,23.1,1,06
39,1231,2003,70.53,67.0,23.44,24.28,54.94,58.84,7.53,4.72,16.12,13.72,22.62,19.19,11.5,10.5,11.85,11.95,28.15,24.45,13.81,4.44,5.34,18.06,12.42,10.17,23.67,21.42,1,07
40,1332,2003,82.22,73.97,28.59,25.88,62.0,60.72,9.0,5.69,16.03,16.53,20.66,23.56,15.22,16.75,11.57,13.48,25.7,22.17,17.47,8.03,2.78,20.94,12.56,10.89,27.56,21.44,0,08
41,1428,2003,66.73,60.0,23.17,20.2,50.73,48.77,7.17,4.57,13.23,15.03,18.8,21.87,12.7,12.57,9.91,9.57,23.87,19.91,13.2,4.67,3.77,20.1,11.86,10.86,23.86,21.0,1,09
42,1104,2003,69.29,65.0,24.04,23.25,57.18,55.5,6.36,6.36,14.86,12.14,20.93,17.14,13.29,13.86,13.53,11.24,26.41,22.88,12.11,6.61,3.79,18.04,10.36,13.64,22.27,20.09,0,10
43,1356,2003,74.53,68.1,27.37,23.93,57.87,53.8,6.1,6.2,13.7,14.03,19.4,20.33,12.5,15.9,10.04,11.29,22.71,22.17,13.57,7.97,3.2,19.33,11.0,14.0,26.0,21.5,0,11
44,1451,2003,74.21,67.17,24.62,24.72,52.86,54.07,6.1,6.03,18.86,11.69,25.69,16.97,12.45,15.59,10.12,10.2,23.08,21.64,14.28,6.76,0.66,18.86,9.5,11.75,22.25,20.75,0,12
45,1409,2003,73.52,65.26,26.39,23.26,57.03,58.61,6.65,5.61,14.1,13.13,19.39,19.26,14.32,14.42,10.82,12.14,27.27,22.45,14.77,7.58,5.0,17.32,14.33,12.0,23.33,22.22,1,13
46,1221,2003,69.34,58.21,24.21,20.69,52.72,50.72,5.31,5.1,15.62,11.72,22.14,17.76,13.93,15.41,12.2,8.64,24.88,18.64,15.41,7.97,4.48,18.38,9.5,11.25,25.5,20.75,0,14
47,1447,2003,75.55,71.45,27.23,26.39,57.68,57.26,7.03,6.13,14.06,12.55,19.29,17.39,14.97,15.45,10.81,10.71,23.52,19.14,16.1,7.52,2.81,17.58,11.4,14.5,26.0,19.9,0,15
48,1237,2003,71.25,70.41,24.44,25.59,53.94,53.69,6.5,6.62,15.88,12.59,22.62,18.56,15.91,16.84,10.79,10.0,21.53,20.05,13.38,8.19,1.81,19.34,11.38,13.0,23.85,20.0,0,16
49,1112,2003,85.21,70.25,30.32,26.36,65.71,64.68,7.04,6.32,17.54,11.21,25.0,17.71,14.79,16.86,14.84,13.0,28.16,22.56,17.64,8.46,4.21,17.75,14.0,18.0,29.33,23.33,3,01
50,1242,2003,81.33,66.37,30.23,24.6,62.3,60.53,4.8,6.63,16.07,10.53,24.13,15.27,14.9,17.3,13.87,12.09,27.48,21.09,16.73,10.13,4.9,16.7,9.71,15.71,27.14,25.0,5,02
51,1181,2003,81.97,70.4,27.37,25.07,60.33,57.17,7.33,4.93,19.9,15.33,28.07,21.97,14.03,17.83,13.38,12.17,24.12,21.62,13.83,8.5,5.13,21.27,12.33,15.33,26.67,19.0,2,03
52,1228,2003,75.43,61.4,27.1,20.33,55.8,54.07,7.43,5.7,13.8,15.03,19.1,21.23,13.17,14.83,10.12,11.46,25.38,19.88,18.27,7.0,3.1,19.13,9.83,8.17,26.5,25.5,1,04
53,1323,2003,80.1,71.19,27.23,26.77,60.68,64.77,8.29,6.23,17.35,11.42,22.84,16.74,12.77,13.06,10.68,14.09,29.0,23.86,16.9,7.45,5.65,16.23,12.67,13.11,27.11,21.67,2,05
54,1166,2003,79.24,64.33,28.7,23.88,57.45,55.33,7.97,4.88,13.88,11.7,20.03,16.7,13.36,17.06,10.72,10.86,23.76,21.21,16.82,8.39,4.45,17.27,12.5,12.0,22.5,19.0,0,06
55,1272,2003,74.52,65.83,26.28,23.28,60.0,57.86,7.0,5.9,14.97,13.38,22.9,20.72,13.79,15.07,13.78,11.96,26.65,22.87,16.62,7.38,5.07,18.76,13.83,15.17,26.33,23.33,0,07
56,1153,2003,67.32,61.5,22.89,21.25,56.68,53.11,6.68,5.93,14.86,13.07,21.54,19.71,10.61,13.93,12.18,10.06,25.06,23.18,12.29,5.18,4.25,18.96,12.73,12.09,25.64,20.82,0,08
57,1211,2003,77.06,68.19,26.06,23.9,55.45,56.26,7.16,7.45,17.77,12.94,24.65,18.74,14.55,14.87,12.3,9.74,26.22,20.35,15.74,6.81,3.52,18.65,11.12,10.88,22.88,22.75,1,09
58,1113,2003,75.97,69.17,27.21,24.79,56.9,55.66,4.0,5.45,17.55,14.14,26.21,20.52,14.0,15.52,14.0,11.22,25.22,18.44,15.55,5.21,4.24,19.41,10.64,13.18,24.0,20.18,1,10
59,1141,2003,79.34,73.24,26.62,26.34,52.69,57.93,6.83,4.97,19.28,15.59,25.17,21.97,18.24,16.07,10.22,12.65,23.96,17.74,15.62,7.1,4.0,20.97,10.67,12.0,23.33,20.67,1,11
60,1454,2003,77.1,69.93,27.27,23.87,57.63,54.47,7.77,6.07,14.8,16.13,21.43,23.1,14.87,17.27,11.57,10.52,23.52,21.65,17.1,8.8,3.6,20.13,13.86,11.43,27.0,21.29,0,12
61,1443,2003,73.1,66.42,25.71,24.29,55.9,55.97,7.71,4.61,13.97,13.23,21.1,19.1,15.16,15.74,12.35,12.0,24.3,20.35,14.19,7.06,3.55,18.45,9.5,11.62,25.25,20.25,0,13
62,1161,2003,74.0,72.67,26.4,25.83,52.1,57.47,4.2,5.63,17.0,15.37,24.27,22.33,16.13,12.23,11.18,12.41,25.82,18.65,15.5,5.33,4.23,20.57,11.46,10.31,19.62,20.38,0,14
63,1429,2003,65.97,60.1,23.7,22.0,51.93,50.8,4.03,5.77,14.53,10.33,20.23,14.83,12.23,12.37,12.45,9.14,22.95,18.5,13.9,5.07,2.0,16.1,9.12,13.12,20.5,20.75,0,15
64,1436,2003,67.79,63.14,24.83,22.76,55.86,55.07,5.28,7.07,12.86,10.55,19.55,15.76,14.07,13.0,13.11,8.79,27.11,19.84,14.21,6.86,2.97,15.9,11.1,12.7,25.7,23.1,0,16
65,1181,2004,79.75,64.97,27.56,23.62,58.47,58.19,7.19,4.78,17.44,12.94,23.84,18.44,14.19,17.72,12.89,14.26,23.3,19.0,14.25,9.34,6.81,18.72,12.6,16.2,26.2,20.4,4,01
66,1280,2004,77.11,66.29,27.36,24.25,58.5,59.39,6.46,6.86,15.93,10.93,24.04,16.89,15.46,16.43,14.8,12.2,26.44,20.92,13.68,9.18,4.5,16.25,13.33,14.33,22.0,23.33,1,02
67,1400,2004,77.13,66.4,27.6,22.47,62.63,56.53,6.8,5.8,15.13,15.67,22.4,21.83,11.87,14.53,16.65,11.96,26.3,21.0,13.83,6.97,3.9,19.43,11.86,15.14,27.71,21.14,2,03
68,1153,2004,76.9,62.9,27.03,20.33,59.1,52.7,7.23,6.13,15.6,16.1,23.37,22.67,12.1,17.07,13.29,10.92,24.08,21.96,16.03,7.9,5.07,19.43,11.83,12.5,24.67,24.33,1,04
69,1228,2004,72.53,62.8,26.63,22.03,57.33,53.07,6.9,5.4,12.37,13.33,17.77,19.47,12.57,14.6,11.29,11.79,23.71,20.04,16.77,6.83,3.8,19.1,10.17,15.0,24.83,19.83,2,05
70,1314,2004,83.07,75.46,29.64,26.96,64.11,60.86,6.5,7.71,17.29,13.82,25.43,20.04,15.64,18.43,15.0,12.44,25.61,21.78,18.36,9.61,4.21,18.5,12.9,16.0,26.0,22.9,1,06
71,1462,2004,70.42,62.36,24.55,22.79,55.64,54.67,7.61,5.33,13.73,11.45,20.21,16.7,12.55,14.15,11.39,11.13,25.61,21.78,13.48,7.03,2.24,16.64,9.4,12.7,25.4,19.3,3,07
72,1371,2004,72.29,64.46,26.11,23.0,56.86,57.93,5.96,5.14,14.11,13.32,19.68,18.89,13.14,13.25,11.47,12.68,26.63,20.42,13.25,6.79,3.14,18.11,11.22,12.44,25.33,22.56,1,08
73,1112,2004,87.52,78.41,31.52,28.9,65.0,65.62,7.38,8.1,17.1,12.52,21.76,17.76,14.97,15.62,13.85,13.75,27.55,21.15,18.9,6.97,4.55,16.07,13.22,14.0,22.78,21.56,0,09
74,1257,2004,73.28,60.9,24.55,21.21,58.41,56.07,7.97,5.72,16.21,12.76,21.66,20.41,13.9,17.41,13.0,12.5,27.45,23.75,15.24,8.34,5.21,20.45,12.56,8.67,26.89,23.67,0,10
75,1102,2004,60.18,50.43,20.29,18.14,42.04,40.36,8.46,3.18,11.14,10.96,15.71,15.32,10.79,16.43,5.91,9.64,16.0,17.64,13.25,7.79,2.36,16.64,8.0,7.0,21.83,13.0,0,11
76,1293,2004,80.8,69.4,29.53,25.13,59.5,58.6,6.47,6.0,15.27,13.13,21.4,18.2,13.8,14.9,12.48,10.88,26.84,20.4,18.83,7.67,4.27,18.07,10.0,11.0,27.8,17.6,0,12
77,1190,2004,77.93,70.24,28.34,25.97,61.1,62.48,5.97,6.79,15.28,11.52,22.55,16.62,16.17,19.45,12.62,13.38,26.17,23.5,15.38,10.93,5.59,16.86,14.6,10.2,28.4,22.4,0,13
78,1343,2004,62.5,56.81,22.35,19.42,46.65,47.54,6.04,4.81,11.77,13.15,16.54,18.42,13.5,12.42,8.47,9.26,23.53,18.0,13.12,6.65,3.27,18.12,7.57,8.86,19.71,18.57,0,14
79,1284,2004,68.78,66.91,22.94,23.72,54.72,56.5,7.09,7.44,15.81,12.03,21.19,17.25,13.41,15.53,9.0,11.95,25.76,23.76,13.81,7.66,2.62,17.53,10.18,10.09,28.0,20.64,0,15
80,1106,2004,61.43,60.6,20.57,21.17,48.73,51.97,5.53,5.73,14.77,12.53,22.47,20.03,17.2,15.33,11.25,10.44,24.56,17.75,10.27,7.07,3.13,18.7,12.36,12.21,22.64,20.71,0,16
81,1390,2004,73.93,60.7,26.53,21.33,54.8,54.63,5.2,6.2,15.67,11.83,20.83,17.07,13.97,14.7,11.0,10.41,25.31,19.1,16.37,6.37,4.43,17.27,10.0,14.0,28.0,22.0,1,01
82,1163,2004,79.09,63.94,30.12,23.76,62.64,64.36,6.39,5.58,12.45,10.85,20.21,16.12,13.79,12.42,15.04,13.85,30.48,20.96,18.24,6.15,8.73,16.06,13.17,16.5,24.33,25.0,6,02
83,1301,2004,73.34,65.21,24.66,23.38,54.55,55.17,8.34,5.41,15.69,13.03,19.66,18.34,13.76,14.76,10.45,11.75,23.85,21.2,14.86,6.97,2.34,18.52,10.67,9.11,23.44,23.33,1,03
84,1268,2004,77.37,71.77,28.07,24.1,63.67,59.97,5.13,7.3,16.1,16.27,25.7,22.57,15.13,17.33,15.42,13.05,28.63,24.95,14.03,8.73,6.77,19.5,13.73,16.36,26.64,20.73,1,04
85,1393,2004,72.93,66.82,27.68,23.82,59.75,59.93,4.32,5.75,13.25,13.43,20.82,20.32,12.79,13.68,13.38,15.43,25.62,20.81,15.36,7.89,6.86,17.64,13.86,15.57,27.43,22.0,2,05
86,1435,2004,73.83,64.73,25.73,22.3,57.37,54.77,7.8,7.17,14.57,12.97,20.43,18.27,12.77,15.43,11.19,10.95,26.57,21.67,16.63,7.57,3.5,17.8,11.0,12.0,26.44,18.67,2,06
87,1177,2004,70.87,67.67,25.63,23.73,54.57,56.2,5.1,7.6,14.5,12.6,20.6,18.0,13.43,12.4,12.05,11.29,25.24,18.81,13.73,5.7,2.37,17.4,11.22,12.11,21.67,20.33,1,07
88,1104,2004,72.21,67.45,24.9,23.28,55.0,55.93,7.14,7.28,15.28,13.62,21.86,19.48,13.28,13.45,11.65,10.71,25.76,21.94,11.86,6.45,3.1,18.34,12.67,10.83,22.33,21.5,3,08
89,1356,2004,71.28,62.9,26.31,21.97,59.17,51.66,5.97,4.9,12.69,14.07,18.45,20.21,12.07,17.0,13.16,11.08,22.28,22.56,14.1,10.28,3.1,19.38,12.25,13.5,28.25,21.75,0,09
90,1173,2004,67.97,64.09,23.53,23.22,52.09,56.75,6.38,6.97,14.53,10.69,21.69,16.25,14.28,10.53,12.21,10.92,27.08,19.17,14.94,4.53,2.84,17.09,10.38,12.25,22.88,21.88,0,10
91,1444,2004,79.2,65.93,27.43,23.03,59.23,53.73,7.17,6.1,17.17,13.77,23.83,20.2,13.3,16.6,14.5,10.77,24.54,21.69,15.47,8.77,2.73,19.37,9.5,13.5,20.5,18.0,0,11
92,1140,2004,72.19,65.37,25.19,23.56,51.74,52.22,5.37,5.74,16.44,12.52,22.56,18.26,14.0,14.67,10.47,8.58,24.84,19.68,14.67,7.19,3.26,19.11,9.12,8.75,20.62,20.12,0,12
93,1431,2004,75.48,67.24,25.66,24.48,54.52,58.52,6.0,6.76,18.17,11.52,24.34,16.76,13.55,15.9,9.91,12.41,24.55,20.18,16.28,7.0,2.62,17.07,14.0,11.43,27.57,22.57,0,13
94,1418,2004,76.27,69.88,27.19,26.0,58.69,58.73,8.23,6.27,13.65,11.62,19.88,17.88,14.54,17.35,11.28,13.11,22.67,20.67,16.12,8.69,2.12,18.65,15.88,12.5,25.62,20.38,0,14
95,1436,2004,66.4,62.1,23.83,23.73,55.93,55.67,6.4,6.27,12.33,8.37,18.17,13.27,12.57,13.0,11.32,9.5,25.95,22.55,14.57,7.0,2.87,15.27,10.38,12.5,27.38,22.0,0,15
96,1427,2004,72.43,72.64,24.29,25.54,56.5,60.46,7.04,7.18,16.82,14.39,23.96,20.07,17.11,15.39,12.81,13.62,28.44,23.75,12.61,6.89,2.79,19.82,12.33,11.75,23.92,20.75,0,16
97,1386,2004,77.79,61.5,27.18,22.11,56.79,56.18,9.75,4.43,13.68,12.86,19.46,18.68,11.71,16.57,9.81,13.89,23.67,22.56,16.54,9.14,3.57,17.04,7.0,6.0,36.0,12.0,3,01
98,1329,2004,78.21,63.9,28.9,22.86,56.34,55.03,4.83,5.07,15.59,13.1,22.41,20.07,13.45,15.55,11.08,11.42,24.58,18.92,16.07,7.86,3.59,19.41,13.67,14.0,26.33,20.67,4,02
99,1338,2004,68.88,56.09,25.72,21.41,53.44,55.62,4.19,5.09,13.25,8.19,20.31,12.91,12.44,12.78,12.46,12.68,23.75,18.14,15.06,5.88,4.91,14.5,14.0,16.0,21.75,23.5,2,03
100,1448,2004,83.82,75.64,28.5,25.93,60.43,58.32,7.64,7.36,19.18,16.43,26.89,23.36,15.04,17.61,14.11,12.89,24.37,21.26,15.75,9.25,3.25,20.82,11.44,13.89,23.44,21.67,2,04
101,1196,2004,76.97,69.13,26.93,24.0,55.8,57.9,8.2,6.87,14.9,14.27,19.8,21.37,14.67,13.57,10.5,13.2,26.4,18.9,16.27,6.53,3.13,18.87,12.3,9.7,25.5,22.0,0,05
102,1458,2004,68.63,56.67,23.73,20.83,52.93,49.37,5.8,4.5,15.37,10.5,21.43,15.03,9.93,14.3,11.46,9.42,22.54,20.33,13.4,6.97,2.8,15.4,7.67,10.5,23.17,18.33,1,06
103,1272,2004,73.57,65.93,24.75,22.21,58.64,55.43,8.71,6.93,15.36,14.57,23.21,20.68,12.93,15.07,13.19,10.76,25.95,23.33,14.29,7.46,5.11,18.21,11.43,14.29,26.14,22.71,1,07
104,1403,2004,73.41,66.44,27.12,24.44,58.44,56.81,3.69,6.06,15.47,11.5,20.97,17.44,12.47,17.19,10.95,12.77,23.5,22.0,14.75,8.25,3.53,16.72,12.5,12.1,25.5,20.9,1,08
105,1150,2004,79.34,71.45,27.14,25.1,60.24,60.59,7.79,6.83,17.28,14.41,26.79,19.97,15.31,15.66,15.38,12.81,26.62,22.62,16.21,8.72,2.97,18.9,10.88,13.12,27.12,25.0,0,09
106,1376,2004,70.91,62.76,25.18,22.09,57.76,56.0,6.79,5.82,13.76,12.76,20.42,18.7,13.21,16.58,12.57,13.91,25.35,22.83,14.85,8.94,5.24,18.0,13.0,13.0,24.6,19.7,0,10
107,1350,2004,64.53,59.0,22.25,20.59,54.34,52.28,5.66,4.97,14.38,12.84,19.84,20.31,13.06,15.06,12.6,12.4,24.3,21.6,12.16,7.09,4.38,18.69,11.92,10.92,26.17,22.17,0,11
108,1264,2004,74.34,63.45,24.38,21.76,55.21,52.76,5.76,4.66,19.83,15.28,26.1,21.97,13.0,16.93,11.21,12.12,23.17,21.08,10.79,9.45,4.17,20.31,9.8,16.8,26.4,20.4,1,12
109,1433,2004,70.8,63.57,26.07,23.0,55.0,57.3,6.57,5.57,12.1,12.0,20.03,17.7,16.43,14.4,13.13,11.91,26.35,20.39,13.0,6.73,3.87,17.57,10.57,9.71,24.29,22.29,0,13
110,1416,2004,70.52,62.21,25.52,21.59,55.72,53.52,7.45,6.28,12.03,12.76,16.66,18.86,15.14,15.66,12.42,11.88,24.79,19.71,16.69,8.83,4.83,18.17,8.8,12.2,24.4,19.6,0,14
111,1186,2004,70.25,68.36,24.75,24.25,51.89,51.96,6.18,5.46,14.57,14.39,20.71,21.0,15.21,15.71,8.75,8.38,21.88,19.69,15.71,6.36,1.5,20.32,11.67,9.67,23.5,20.25,0,15
112,1251,2004,68.74,67.0,24.71,24.65,57.84,57.48,6.03,5.32,13.29,12.39,19.45,19.68,15.81,15.35,13.18,12.12,25.59,20.71,13.77,8.77,3.32,19.42,12.57,13.29,25.5,22.43,0,16
113,1246,2004,73.13,62.8,26.67,21.47,56.83,53.83,6.2,6.17,13.6,13.7,19.53,18.9,14.5,16.0,11.69,10.04,24.77,20.58,15.6,7.9,3.37,18.43,12.5,12.5,24.0,19.25,1,01
114,1211,2004,82.34,65.93,29.03,23.34,56.38,60.79,6.52,7.45,17.76,11.79,23.48,17.1,13.55,13.0,11.04,12.07,28.22,18.67,18.21,6.28,3.79,15.93,12.5,18.5,23.5,24.0,1,02
115,1210,2004,78.06,67.28,27.44,22.75,58.38,58.91,7.25,5.72,15.94,16.06,23.0,24.28,15.47,17.28,11.65,14.7,27.57,22.04,15.78,8.84,4.84,21.22,12.44,10.67,26.33,22.33,5,03
116,1242,2004,74.86,68.18,26.93,23.54,58.14,59.46,5.75,6.21,15.25,14.89,21.57,21.32,14.43,14.29,12.15,13.8,27.3,21.8,17.25,6.89,4.93,20.46,12.5,11.88,25.38,24.5,3,04
117,1344,2004,71.5,64.32,24.79,23.75,54.68,56.43,7.93,5.86,14.0,10.96,19.54,16.5,14.93,15.14,11.5,13.7,22.7,19.85,15.89,9.29,5.04,16.11,9.88,12.12,22.25,19.88,0,05
