,TeamID,Season,PointScored,PointAllow,FG,oppFG,FGA,oppFGA,3P,opp3P,FT,oppFT,FTA,oppFTA,TO,oppTO,ORB,oppORB,DRB,oppDRB,Wins,Seed
33,1246,2003,77.53,64.09,28.47,23.0,58.41,55.78,5.91,5.78,14.69,12.31,20.78,18.06,14.06,16.47,12.88,11.19,24.16,19.97,3,01
34,1338,2003,74.6,58.83,26.87,20.47,53.5,53.37,6.37,5.23,14.5,12.67,22.8,18.4,15.1,16.17,11.3,10.3,25.37,19.73,2,02
35,1266,2003,78.39,67.68,27.21,23.82,56.25,58.68,5.79,6.71,18.18,13.32,23.61,19.14,13.57,12.5,13.11,12.68,24.07,18.57,4,03
36,1173,2003,72.79,66.31,24.48,23.9,54.21,56.59,7.52,5.93,16.31,12.59,22.79,17.59,13.31,11.86,13.48,12.17,23.17,19.28,0,04
37,1458,2003,70.72,58.69,25.03,22.21,53.9,51.59,6.24,5.07,14.41,9.21,19.45,12.62,10.52,13.97,10.31,8.21,22.55,21.69,2,05
38,1281,2003,71.77,66.48,26.16,24.13,59.19,59.94,7.48,5.81,11.97,12.42,18.16,18.45,13.61,13.19,13.48,13.16,25.9,23.26,1,06
39,1231,2003,70.53,67.0,23.44,24.28,54.94,58.84,7.53,4.72,16.12,13.72,22.62,19.19,11.5,10.5,11.22,12.12,25.62,24.16,1,07
40,1332,2003,82.22,73.97,28.59,25.88,62.0,60.72,9.0,5.69,16.03,16.53,20.66,23.56,15.22,16.75,11.38,13.22,24.5,23.69,0,08
41,1428,2003,66.73,60.0,23.17,20.2,50.73,48.77,7.17,4.57,13.23,15.03,18.8,21.87,12.7,12.57,10.13,10.1,23.2,20.83,1,09
42,1104,2003,69.29,65.0,24.04,23.25,57.18,55.5,6.36,6.36,14.86,12.14,20.93,17.14,13.29,13.86,13.57,10.89,23.93,22.64,0,10
43,1356,2003,74.53,68.1,27.37,23.93,57.87,53.8,6.1,6.2,13.7,14.03,19.4,20.33,12.5,15.9,10.83,11.23,22.47,22.93,0,11
44,1451,2003,74.21,67.17,24.62,24.72,52.86,54.07,6.1,6.03,18.86,11.69,25.69,16.97,12.45,15.59,10.34,10.1,22.76,21.72,0,12
45,1409,2003,73.52,65.26,26.39,23.26,57.03,58.61,6.65,5.61,14.1,13.13,19.39,19.26,14.32,14.42,11.16,12.77,25.81,22.71,1,13
46,1221,2003,69.34,58.21,24.21,20.69,52.72,50.72,5.31,5.1,15.62,11.72,22.14,17.76,13.93,15.41,12.07,8.76,24.31,19.59,0,14
47,1447,2003,75.55,71.45,27.23,26.39,57.68,57.26,7.03,6.13,14.06,12.55,19.29,17.39,14.97,15.45,12.0,10.94,22.35,21.35,0,15
48,1237,2003,71.25,70.41,24.44,25.59,53.94,53.69,6.5,6.62,15.88,12.59,22.62,18.56,15.91,16.84,11.69,10.56,20.91,21.59,0,16
49,1112,2003,85.21,70.25,30.32,26.36,65.71,64.68,7.04,6.32,17.54,11.21,25.0,17.71,14.79,16.86,15.18,13.11,27.64,23.29,3,01
50,1242,2003,81.33,66.37,30.23,24.6,62.3,60.53,4.8,6.63,16.07,10.53,24.13,15.27,14.9,17.3,14.3,11.53,26.9,22.5,5,02
51,1181,2003,81.97,70.4,27.37,25.07,60.33,57.17,7.33,4.93,19.9,15.33,28.07,21.97,14.03,17.83,13.77,12.2,23.1,22.63,2,03
52,1228,2003,75.43,61.4,27.1,20.33,55.8,54.07,7.43,5.7,13.8,15.03,19.1,21.23,13.17,14.83,9.73,11.13,25.4,21.2,1,04
53,1323,2003,80.1,71.19,27.23,26.77,60.68,64.77,8.29,6.23,17.35,11.42,22.84,16.74,12.77,13.06,11.39,13.68,26.87,24.81,2,05
54,1166,2003,79.24,64.33,28.7,23.88,57.45,55.33,7.97,4.88,13.88,11.7,20.03,16.7,13.36,17.06,10.88,11.06,23.18,21.36,0,06
55,1272,2003,74.52,65.83,26.28,23.28,60.0,57.86,7.0,5.9,14.97,13.38,22.9,20.72,13.79,15.07,14.07,12.34,25.97,23.59,0,07
56,1153,2003,67.32,61.5,22.89,21.25,56.68,53.11,6.68,5.93,14.86,13.07,21.54,19.71,10.61,13.93,12.14,11.11,23.39,24.14,0,08
57,1211,2003,77.06,68.19,26.06,23.9,55.45,56.26,7.16,7.45,17.77,12.94,24.65,18.74,14.55,14.87,11.94,10.1,25.32,21.0,1,09
58,1113,2003,75.97,69.17,27.21,24.79,56.9,55.66,4.0,5.45,17.55,14.14,26.21,20.52,14.0,15.52,13.69,11.0,23.31,20.55,1,10
59,1141,2003,79.34,73.24,26.62,26.34,52.69,57.93,6.83,4.97,19.28,15.59,25.17,21.97,18.24,16.07,10.59,12.24,23.28,18.9,1,11
60,1454,2003,77.1,69.93,27.27,23.87,57.63,54.47,7.77,6.07,14.8,16.13,21.43,23.1,14.87,17.27,11.53,11.3,23.0,22.9,0,12
61,1443,2003,73.1,66.42,25.71,24.29,55.9,55.97,7.71,4.61,13.97,13.23,21.1,19.1,15.16,15.74,12.16,11.35,23.26,21.61,0,13
62,1161,2003,74.0,72.67,26.4,25.83,52.1,57.47,4.2,5.63,17.0,15.37,24.27,22.33,16.13,12.23,10.8,12.0,23.47,19.07,0,14
63,1429,2003,65.97,60.1,23.7,22.0,51.93,50.8,4.03,5.77,14.53,10.33,20.23,14.83,12.23,12.37,12.63,9.13,22.37,19.03,0,15
64,1436,2003,67.79,63.14,24.83,22.76,55.86,55.07,5.28,7.07,12.86,10.55,19.55,15.76,14.07,13.0,12.97,9.59,25.72,21.86,0,16
65,1181,2004,79.75,64.97,27.56,23.62,58.47,58.19,7.19,4.78,17.44,12.94,23.84,18.44,14.19,17.72,13.41,14.0,22.84,20.12,4,01
66,1280,2004,77.11,66.29,27.36,24.25,58.5,59.39,6.46,6.86,15.93,10.93,24.04,16.89,15.46,16.43,14.75,12.32,26.11,21.04,1,02
67,1400,2004,77.13,66.4,27.6,22.47,62.63,56.53,6.8,5.8,15.13,15.67,22.4,21.83,11.87,14.53,16.3,11.93,25.1,22.57,2,03
68,1153,2004,76.9,62.9,27.03,20.33,59.1,52.7,7.23,6.13,15.6,16.1,23.37,22.67,12.1,17.07,13.13,11.1,24.13,22.5,1,04
69,1228,2004,72.53,62.8,26.63,22.03,57.33,53.07,6.9,5.4,12.37,13.33,17.77,19.47,12.57,14.6,12.03,11.47,22.93,21.0,2,05
70,1314,2004,83.07,75.46,29.64,26.96,64.11,60.86,6.5,7.71,17.29,13.82,25.43,20.04,15.64,18.43,15.36,12.61,24.64,23.29,1,06
71,1462,2004,70.42,62.36,24.55,22.79,55.64,54.67,7.61,5.33,13.73,11.45,20.21,16.7,12.55,14.15,11.79,10.61,23.7,22.88,3,07
72,1371,2004,72.29,64.46,26.11,23.0,56.86,57.93,5.96,5.14,14.11,13.32,19.68,18.89,13.14,13.25,11.79,12.21,25.32,22.0,1,08
73,1112,2004,87.52,78.41,31.52,28.9,65.0,65.62,7.38,8.1,17.1,12.52,21.76,17.76,14.97,15.62,13.9,13.59,25.69,21.66,0,09
74,1257,2004,73.28,60.9,24.55,21.21,58.41,56.07,7.97,5.72,16.21,12.76,21.66,20.41,13.9,17.41,11.66,12.52,26.28,24.72,0,10
75,1102,2004,60.18,50.43,20.29,18.14,42.04,40.36,8.46,3.18,11.14,10.96,15.71,15.32,10.79,16.43,6.14,9.29,15.36,18.54,0,11
76,1293,2004,80.8,69.4,29.53,25.13,59.5,58.6,6.47,6.0,15.27,13.13,21.4,18.2,13.8,14.9,12.23,10.73,25.3,21.63,0,12
77,1190,2004,77.93,70.24,28.34,25.97,61.1,62.48,5.97,6.79,15.28,11.52,22.55,16.62,16.17,19.45,12.21,13.59,25.52,24.34,0,13
78,1343,2004,62.5,56.81,22.35,19.42,46.65,47.54,6.04,4.81,11.77,13.15,16.54,18.42,13.5,12.42,8.58,8.81,22.19,18.46,0,14
79,1284,2004,68.78,66.91,22.94,23.72,54.72,56.5,7.09,7.44,15.81,12.03,21.19,17.25,13.41,15.53,9.38,11.34,24.0,25.22,0,15
80,1106,2004,61.43,60.6,20.57,21.17,48.73,51.97,5.53,5.73,14.77,12.53,22.47,20.03,17.2,15.33,11.7,11.33,22.77,20.03,0,16
81,1390,2004,73.93,60.7,26.53,21.33,54.8,54.63,5.2,6.2,15.67,11.83,20.83,17.07,13.97,14.7,11.1,10.4,25.2,19.4,1,01
82,1163,2004,79.09,63.94,30.12,23.76,62.64,64.36,6.39,5.58,12.45,10.85,20.21,16.12,13.79,12.42,15.3,13.73,29.48,21.58,6,02
83,1301,2004,73.34,65.21,24.66,23.38,54.55,55.17,8.34,5.41,15.69,13.03,19.66,18.34,13.76,14.76,10.03,11.41,23.69,21.9,1,03
84,1268,2004,77.37,71.77,28.07,24.1,63.67,59.97,5.13,7.3,16.1,16.27,25.7,22.57,15.13,17.33,15.77,13.3,25.73,25.57,1,04
85,1393,2004,72.93,66.82,27.68,23.82,59.75,59.93,4.32,5.75,13.25,13.43,20.82,20.32,12.79,13.68,13.93,15.04,24.71,22.46,2,05
86,1435,2004,73.83,64.73,25.73,22.3,57.37,54.77,7.8,7.17,14.57,12.97,20.43,18.27,12.77,15.43,11.43,10.97,24.2,23.1,2,06
87,1177,2004,70.87,67.67,25.63,23.73,54.57,56.2,5.1,7.6,14.5,12.6,20.6,18.0,13.43,12.4,12.07,11.27,23.77,19.67,1,07
88,1104,2004,72.21,67.45,24.9,23.28,55.0,55.93,7.14,7.28,15.28,13.62,21.86,19.48,13.28,13.45,11.31,11.52,24.0,22.1,3,08
89,1356,2004,71.28,62.9,26.31,21.97,59.17,51.66,5.97,4.9,12.69,14.07,18.45,20.21,12.07,17.0,13.21,11.24,22.21,23.34,0,09
90,1173,2004,67.97,64.09,23.53,23.22,52.09,56.75,6.38,6.97,14.53,10.69,21.69,16.25,14.28,10.53,12.22,10.78,25.78,20.09,0,10
91,1444,2004,79.2,65.93,27.43,23.03,59.23,53.73,7.17,6.1,17.17,13.77,23.83,20.2,13.3,16.6,14.37,10.6,23.67,21.53,0,11
92,1140,2004,72.19,65.37,25.19,23.56,51.74,52.22,5.37,5.74,16.44,12.52,22.56,18.26,14.0,14.67,9.96,8.74,23.44,19.96,0,12
93,1431,2004,75.48,67.24,25.66,24.48,54.52,58.52,6.0,6.76,18.17,11.52,24.34,16.76,13.55,15.9,10.28,12.79,24.07,21.97,0,13
94,1418,2004,76.27,69.88,27.19,26.0,58.69,58.73,8.23,6.27,13.65,11.62,19.88,17.88,14.54,17.35,11.65,13.96,21.96,22.19,0,14
95,1436,2004,66.4,62.1,23.83,23.73,55.93,55.67,6.4,6.27,12.33,8.37,18.17,13.27,12.57,13.0,11.63,9.73,24.9,23.83,0,15
96,1427,2004,72.43,72.64,24.29,25.54,56.5,60.46,7.04,7.18,16.82,14.39,23.96,20.07,17.11,15.39,12.36,13.07,25.14,23.82,0,16
97,1386,2004,77.79,61.5,27.18,22.11,56.79,56.18,9.75,4.43,13.68,12.86,19.46,18.68,11.71,16.57,9.68,13.64,23.25,23.04,3,01
98,1329,2004,78.21,63.9,28.9,22.86,56.34,55.03,4.83,5.07,15.59,13.1,22.41,20.07,13.45,15.55,11.38,11.66,24.17,19.69,4,02
99,1338,2004,68.88,56.09,25.72,21.41,53.44,55.62,4.19,5.09,13.25,8.19,20.31,12.91,12.44,12.78,12.91,12.84,23.72,18.59,2,03
100,1448,2004,83.82,75.64,28.5,25.93,60.43,58.32,7.64,7.36,19.18,16.43,26.89,23.36,15.04,17.61,14.04,12.43,23.5,21.96,2,04
101,1196,2004,76.97,69.13,26.93,24.0,55.8,57.9,8.2,6.87,14.9,14.27,19.8,21.37,14.67,13.57,10.23,12.9,24.93,21.1,0,05
102,1458,2004,68.63,56.67,23.73,20.83,52.93,49.37,5.8,4.5,15.37,10.5,21.43,15.03,9.93,14.3,11.27,9.07,21.7,20.9,1,06
103,1272,2004,73.57,65.93,24.75,22.21,58.64,55.43,8.71,6.93,15.36,14.57,23.21,20.68,12.93,15.07,13.46,10.93,25.14,24.04,1,07
104,1403,2004,73.41,66.44,27.12,24.44,58.44,56.81,3.69,6.06,15.47,11.5,20.97,17.44,12.47,17.19,11.31,12.69,22.69,23.09,1,08
105,1150,2004,79.34,71.45,27.14,25.1,60.24,60.59,7.79,6.83,17.28,14.41,26.79,19.97,15.31,15.66,14.76,12.28,26.17,23.86,0,09
106,1376,2004,70.91,62.76,25.18,22.09,57.76,56.0,6.79,5.82,13.76,12.76,20.42,18.7,13.21,16.58,12.7,13.64,23.64,23.36,0,10
107,1350,2004,64.53,59.0,22.25,20.59,54.34,52.28,5.66,4.97,14.38,12.84,19.84,20.31,13.06,15.06,11.97,12.22,23.5,23.31,0,11
108,1264,2004,74.34,63.45,24.38,21.76,55.21,52.76,5.76,4.66,19.83,15.28,26.1,21.97,13.0,16.93,12.17,11.72,22.69,22.0,1,12
109,1433,2004,70.8,63.57,26.07,23.0,55.0,57.3,6.57,5.57,12.1,12.0,20.03,17.7,16.43,14.4,12.33,11.6,25.4,21.3,0,13
110,1416,2004,70.52,62.21,25.52,21.59,55.72,53.52,7.45,6.28,12.03,12.76,16.66,18.86,15.14,15.66,12.38,11.34,23.9,20.52,0,14
111,1186,2004,70.25,68.36,24.75,24.25,51.89,51.96,6.18,5.46,14.57,14.39,20.71,21.0,15.21,15.71,9.14,9.79,21.18,21.32,0,15
112,1251,2004,68.74,67.0,24.71,24.65,57.84,57.48,6.03,5.32,13.29,12.39,19.45,19.68,15.81,15.35,13.23,12.32,24.16,22.87,0,16
113,1246,2004,73.13,62.8,26.67,21.47,56.83,53.83,6.2,6.17,13.6,13.7,19.53,18.9,14.5,16.0,11.8,10.37,24.03,21.03,1,01
114,1211,2004,82.34,65.93,29.03,23.34,56.38,60.79,6.52,7.45,17.76,11.79,23.48,17.1,13.55,13.0,11.55,12.1,27.93,19.0,1,02
115,1210,2004,78.06,67.28,27.44,22.75,58.38,58.91,7.25,5.72,15.94,16.06,23.0,24.28,15.47,17.28,11.38,14.06,26.09,23.25,5,03
116,1242,2004,74.86,68.18,26.93,23.54,58.14,59.46,5.75,6.21,15.25,14.89,21.57,21.32,14.43,14.29,12.07,13.43,26.5,22.82,3,04
117,1344,2004,71.5,64.32,24.79,23.75,54.68,56.43,7.93,5.86,14.0,10.96,19.54,16.5,14.93,15.14,11.68,12.61,21.89,20.54,0,05
118,1130,2004,68.75,63.75,24.25,23.25,53.47,57.56,3.75,5.94,16.5,11.31,24.31,16.12,13.38,14.03,12.81,13.22,23.72,20.22,1,06
119,1277,2004,71.45,67.34,25.0,23.07,50.48,50.48,6.38,5.93,15.07,15.28,19.59,22.38,14.62,13.97,9.1,10.03,21.38,18.66,0,07
120,1449,2004,81.43,78.23,28.5,27.93,61.57,60.1,6.5,5.9,17.93,16.47,25.13,23.37,15.2,17.13,12.4,12.23,23.0,23.5,0,08
121,1412,2004,74.55,67.0,27.55,22.93,62.17,54.38,6.48,5.34,12.97,15.79,19.83,23.72,13.62,20.62,12.34,13.52,22.69,26.28,2,09
122,1305,2004,75.5,66.17,26.77,23.83,58.77,57.23,4.87,4.83,17.1,13.67,23.93,19.33,13.0,14.27,13.4,10.77,25.47,22.4,2,10
123,1428,2004,64.9,57.61,23.32,20.94,49.29,50.65,5.97,4.06,12.29,11.68,17.23,17.52,14.23,10.81,10.65,9.26,24.0,18.13,0,11
124,1334,2004,69.17,63.8,23.2,22.9,49.5,56.93,5.9,6.17,16.87,11.83,22.87,16.53,14.1,12.6,9.27,12.07,24.27,20.63,1,12
125,1227,2004,70.0,62.52,25.48,22.55,55.9,52.29,5.0,6.26,14.03,11.16,22.13,17.13,12.58,16.26,13.29,10.87,22.16,21.03,0,13
126,1320,2004,69.21,65.24,23.31,23.69,53.07,56.52,7.07,5.07,15.52,12.79,21.1,18.41,12.66,11.45,8.93,10.24,25.9,24.21,0,14
127,1434,2004,72.28,71.45,24.76,24.52,55.76,58.83,5.28,5.62,17.48,16.79,24.59,25.62,16.17,13.24,11.9,12.24,26.52,23.41,0,15
128,1197,2004,72.1,73.97,23.07,24.97,55.77,55.4,8.47,7.07,17.5,16.97,24.53,25.4,16.93,18.6,11.43,12.63,22.53,24.8,1,16
129,1250,2004,65.86,63.68,22.75,22.46,53.96,54.36,6.14,5.61,14.21,13.14,19.82,19.71,14.64,13.89,11.18,11.11,24.43,23.32,0,16
130,1449,2005,86.23,73.42,31.52,25.87,65.1,57.52,7.45,5.58,15.74,16.1,21.48,22.97,14.61,18.23,15.06,12.16,22.45,21.06,2,01
131,1448,2005,84.71,73.42,29.19,26.19,59.26,60.45,7.55,7.77,18.77,13.26,27.39,19.32,14.55,14.68,13.97,11.94,25.68,20.68,1,02
132,1211,2005,79.69,69.79,27.59,24.62,54.52,59.34,5.03,8.41,19.48,12.14,26.1,18.0,13.55,12.41,11.72,11.52,26.45,18.69,1,03
133,1257,2005,80.55,62.65,26.55,21.06,57.13,55.87,9.65,6.32,17.81,14.19,24.45,21.29,14.39,17.16,12.71,12.52,26.42,21.13,4,04
134,1210,2005,74.57,66.3,26.7,22.8,58.93,59.17,5.9,6.2,15.27,14.5,22.23,21.87,15.3,15.7,12.77,13.23,26.7,23.4,1,05
135,1403,2005,77.53,69.57,28.23,25.47,59.67,59.2,4.57,7.4,16.5,11.23,21.6,16.6,12.87,17.37,11.37,12.97,23.5,22.73,2,06
136,1452,2005,70.23,65.71,24.48,23.81,55.35,53.23,8.94,6.06,12.32,12.03,16.68,16.35,11.39,14.97,9.9,10.97,20.77,23.26,3,07
137,1334,2005,72.41,63.55,25.45,23.9,50.9,58.62,6.31,6.97,15.21,8.79,20.38,13.31,13.93,11.28,9.76,11.03,26.03,18.41,1,08
138,1338,2005,72.36,62.96,25.46,22.18,53.86,55.21,5.96,6.57,15.46,12.04,23.54,17.11,14.61,12.93,14.43,11.18,23.89,18.11,0,09
139,1166,2005,71.52,64.97,24.3,23.91,53.64,53.97,8.64,5.58,14.27,11.58,19.61,17.88,11.97,14.73,9.88,11.79,21.52,22.52,0,10
140,1417,2005,74.0,71.43,25.79,26.07,56.93,59.21,6.43,5.86,16.0,13.43,22.11,19.61,16.11,14.29,11.93,11.14,25.25,21.71,0,11
141,1203,2005,77.24,66.93,27.72,23.76,58.1,56.14,5.38,7.24,16.41,12.17,23.34,18.62,14.97,17.55,13.03,11.76,23.66,21.45,0,12
142,1418,2005,72.34,68.21,25.93,23.38,58.52,52.1,6.55,6.28,13.93,15.17,20.93,22.83,15.48,17.45,14.24,10.97,21.17,21.34,0,13
143,1457,2005,66.76,59.03,22.62,19.72,51.52,49.55,6.72,6.41,14.79,13.17,21.62,19.93,14.0,15.0,11.17,10.1,23.48,21.28,0,14
144,1151,2005,70.44,67.56,24.48,23.37,55.15,56.89,5.26,9.96,16.22,10.85,24.11,16.07,17.41,15.07,13.52,9.67,27.07,21.41,0,15
145,1285,2005,69.29,69.04,23.43,25.14,51.25,59.21,5.82,6.64,16.61,12.11,24.46,17.39,17.0,13.75,10.29,11.0,25.71,21.71,0,16
146,1228,2005,77.42,60.12,28.15,21.94,57.61,53.3,8.7,5.97,12.42,10.27,17.15,15.52,11.12,15.3,10.97,10.27,23.39,20.52,5,01
147,1329,2005,78.1,65.86,27.72,24.1,55.86,54.03,7.07,5.41,15.59,12.24,20.17,17.76,13.86,15.14,11.38,10.28,22.83,19.1,2,02
148,1112,2005,79.67,69.55,29.12,25.79,61.85,58.79,6.85,6.58,14.58,11.39,18.73,17.03,14.85,16.97,13.73,12.27,23.27,20.76,3,03
149,1130,2005,71.93,63.82,25.54,23.93,56.54,57.71,4.0,6.18,16.86,9.79,23.64,14.14,12.93,13.96,14.32,12.46,23.46,20.71,1,04
150,1104,2005,75.43,64.83,25.37,24.1,52.67,59.57,7.63,7.17,17.07,9.47,23.27,14.57,12.67,11.6,10.23,11.53,26.47,20.23,0,05
151,1261,2005,75.48,71.03,25.97,25.83,56.07,58.17,6.86,7.52,16.69,11.86,22.86,17.1,13.24,12.45,11.48,10.34,24.9,21.66,0,06
152,1356,2005,66.88,60.09,24.97,21.09,55.66,49.56,5.91,4.88,11.03,13.03,14.78,19.38,12.81,16.28,11.31,10.72,21.66,21.44,1,07
153,1400,2005,77.34,69.0,26.24,24.24,57.17,61.24,7.86,7.24,17.0,13.28,24.41,19.31,14.21,12.76,13.45,13.0,26.03,21.28,0,08
154,1305,2005,69.55,62.52,24.72,22.93,53.55,58.62,2.69,5.59,17.41,11.07,24.66,15.97,14.59,12.97,12.07,11.1,27.31,20.76,1,09
155,1388,2005,69.97,65.26,23.42,24.45,53.42,56.77,6.94,4.26,16.19,12.1,22.52,18.19,15.55,14.0,12.13,11.74,23.71,21.06,0,10
156,1412,2005,77.81,71.55,27.48,24.26,60.42,55.16,6.58,7.23,16.26,15.81,23.29,22.13,13.39,20.55,11.74,13.13,21.26,24.55,1,11
157,1454,2005,73.89,64.07,25.59,22.33,58.15,54.7,7.74,5.22,14.96,14.19,21.37,20.37,13.67,17.19,13.33,12.41,23.3,22.74,2,12
158,1335,2005,68.46,60.82,23.54,21.04,53.89,52.93,6.5,6.04,14.89,12.71,22.5,20.0,15.64,15.93,12.36,10.46,25.14,22.07,0,13
159,1429,2005,72.97,57.48,26.81,21.26,50.52,53.9,5.74,6.13,13.61,8.84,19.65,12.39,12.39,12.26,9.52,10.06,24.77,17.29,0,14
160,1368,2005,61.3,56.3,22.44,19.85,49.63,47.19,3.37,4.81,13.04,11.78,20.7,17.26,14.19,17.22,10.74,9.93,20.33,21.26,0,15
161,1192,2005,74.16,70.9,27.06,25.68,59.94,56.32,6.68,5.81,13.35,13.74,19.94,21.16,13.9,15.35,12.45,11.13,23.65,24.16,0,16
162,1181,2005,79.77,65.8,26.53,23.9,59.17,60.9,8.97,3.8,17.73,14.2,24.9,19.77,13.6,15.8,13.5,14.6,24.93,22.1,2,01
163,1246,2005,73.73,61.9,26.5,21.87,57.73,54.1,6.53,6.57,14.2,11.6,21.4,16.63,13.03,18.13,12.7,11.73,22.9,22.2,3,02
